time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.5317339,0.69582117,0.1447823,0.18546921,1.0865214,0.11252768,0.2258446,0.119412675,0.086337686,0.43705732,0.013458461,0.58608687,0.25302115,1.4866614,1.075898,0.59543306,0.19049536,0.7250538,0.39449075,0.14441885,0.06904731,1.281233,0.43704695,0.3360254,,,,
1,1.5277742,0.47966534,0.08311845,0.6452377,1.8506526,2.1987553,1.2898939,1.3695853,1.3972917,1.132463,2.9703429,1.4814172,1.5280442,0.94029576,0.5223149,1.156306,1.6970329,1.5626353,1.9826099,2.1592314,0.6040938,1.9596184,1.2545446,1.5400281,,,,
2,2.6452315,1.1264503,0.49418303,2.751933,0.63069916,1.416368,1.0765107,1.4567953,3.1552615,4.9717174,1.7947938,2.1746008,1.4405123,1.6814042,0.6762669,1.8174218,1.7019035,2.433292,1.0939257,1.980481,1.888058,1.8119493,2.442835,0.62731385,,,,
3,2.6508183,1.6516107,3.1508167,1.7196196,2.7169576,2.2505226,0.9155804,1.5033288,4.3250465,2.0402029,4.542262,1.6768246,2.590463,2.491321,2.572726,3.7598848,2.0584385,2.510325,2.4842594,1.6368024,2.529962,2.51154,3.4707043,3.6549795,,,,
4,3.4850872,5.690198,4.671166,2.936686,4.7009077,3.7453673,6.0630574,4.5910177,4.152247,4.5831146,7.1872964,5.84819,7.2864895,5.2370963,5.0477953,6.75593,5.0995,7.3628693,6.605996,6.2828064,5.6586285,7.104583,6.9459467,6.4011283,,,,
5,7.1133366,7.3723187,7.9287577,7.5090837,7.3172383,7.8022003,8.074911,7.970608,8.189858,8.536963,7.171044,7.271609,7.247454,5.963926,6.9690633,7.255316,6.928688,6.5468564,7.3162417,6.6245847,6.56073,7.406162,7.349202,6.5952687,,,,
6,7.298972,7.235065,8.584411,8.891162,6.1031213,6.4368725,7.21009,6.2646437,7.471295,9.053681,8.778385,8.085026,8.039448,7.583677,5.305853,6.649165,6.4698534,6.1180124,7.0107265,5.7470016,6.7962112,7.0010786,6.656622,6.5667114,,,,
7,4.3195014,4.3017025,5.279372,3.1612015,3.0120888,3.5774584,6.010169,6.460248,3.4063513,4.994543,4.7487288,3.6445847,4.694843,3.2756295,5.518343,3.5495238,4.326646,4.0766783,5.0773497,6.0905557,6.088448,4.9549465,4.2307334,4.5865726,,,,
8,0.71911377,1.8612449,1.1101778,0.5359915,1.5058421,1.1079242,1.3672384,2.4782674,1.1156504,1.1501896,1.2303691,0.47465995,2.0462053,2.572311,2.0374718,1.5017815,1.1862969,2.3608174,1.6992968,1.3025526,1.7181138,1.4551961,0.50706,0.6082892,,,,
9,0.43905115,0.6620088,0.9547927,0.8187438,1.1107904,0.6292765,0.1364227,0.20962383,1.2072115,0.17435767,1.2573173,0.8728165,0.32685578,0.5967,0.5595023,0.5160323,0.050915763,1.5544211,0.2963146,0.40388885,1.0642049,1.1828388,1.2170353,1.117125,,,,
