time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.67459494,1.8991383,1.6711026,1.9831187,2.6292806,2.2612913,4.4160886,1.833622,1.5413989,1.8344214,2.045551,1.4522157,2.1553166,1.5314399,3.3000124,1.2328303,1.1909077,1.6339049,1.4711573,2.2338033,2.558042,1.1697023,1.799633,1.552178,,,,
1,3.3362653,1.6330014,1.7209903,2.8749495,1.54791,3.9573588,1.255396,4.198344,1.8728133,2.7755377,3.1215842,2.587254,1.0452219,4.0802608,4.1632338,2.5335553,1.4504607,1.2553649,2.921701,3.4075868,2.6271932,2.9184923,2.129168,3.8297212,,,,
2,5.8036394,3.8075604,6.432376,3.9242213,3.8753932,3.0923204,3.5913844,4.5504656,3.7132163,3.2288053,1.5001094,4.270839,5.757303,4.993515,3.7608714,5.6383057,3.160184,3.2543929,4.677947,3.4034436,4.3640103,3.7299979,3.7151895,6.159957,,,,
3,4.392443,4.555585,5.260192,4.1877728,4.252157,6.043815,6.1557817,2.8715122,4.266509,4.8295937,7.809636,6.793314,4.661259,4.815678,5.6355333,3.8877714,4.9375105,4.8059063,4.4865484,6.630795,7.1458926,5.3863444,6.246221,5.2260365,,,,
4,3.4703307,5.8455105,6.8931203,5.375461,5.932159,4.403742,6.9031625,5.182183,7.4949613,7.0194287,6.946913,7.3174887,6.058893,6.4864173,6.8036466,5.6450877,5.843932,7.20766,7.2934265,6.6700697,6.4561667,5.683697,5.5634847,7.7833834,,,,
5,5.3751187,4.665714,2.6148045,2.573588,2.5749898,4.115174,3.163455,2.7312682,4.017081,3.5481215,5.6718693,3.4512126,3.6258922,4.0172777,3.385582,3.9524677,4.263404,2.474093,4.6189833,3.5739484,3.0346026,2.3000987,2.2593286,3.5568864,,,,
6,1.0288246,0.60269195,0.7599462,0.9712938,2.540835,0.59779036,1.2204622,0.9224133,1.57194,0.99733835,0.9364119,1.1143937,0.9577731,1.2900912,0.42878076,0.9553638,0.1927904,1.5548884,1.7941709,1.0317218,1.0327811,1.5257701,1.066126,1.0954627,,,,
7,0.42586267,0.45209426,0.80739343,0.30943033,1.1263258,0.9713666,0.46623805,0.5493565,0.7222604,0.05443615,0.08336769,0.17325693,0.8327423,0.45833537,0.38165537,0.19869922,0.6674815,0.13104346,0.18659076,0.44432655,0.11612076,0.14542614,0.10566346,0.59397924,,,,
8,0.64686805,0.9425596,0.3116423,0.13969384,0.19022538,0.7127377,0.18218769,0.40848923,0.29346922,0.05127923,0.53128725,0.33924463,0.22426614,0.02826692,0.2652646,0.66426224,0.007425,0.1567973,0.95759654,0.64396036,0.18284193,0.3410723,0.11521731,1.2116145,,,,
9,0.110367686,0.8618711,0.2658046,0.01980346,0.36762574,0.3719042,0.09399115,0.027778843,0.10467692,0.0,0.5084723,0.023905383,0.030593077,0.34609845,0.4255823,0.99432683,0.42377537,0.76821226,0.13039961,0.021319615,0.21325845,0.17850114,0.7205781,0.025193077,,,,
10,0.38611037,0.23962499,0.43387955,1.181873,0.658208,0.6516762,0.07709538,0.82680225,0.9224757,0.14107499,0.6820823,1.923594,1.4488409,0.5897838,1.2499651,0.11644268,0.86189187,0.55771613,1.8287723,0.87829965,0.06951462,1.1316531,0.22192961,0.4658434,0.6263168,0.18038076,0.45506424,0.2938327
