time,0,1,2,3,4,5,6,7,8,9
0,4.463477,4.575904,4.776603,4.1799364,3.5237508,3.675489,4.9714108,3.7509577,3.8199632,5.412228
1,5.5226564,4.916035,6.7503605,4.9731503,6.6302,6.2174106,5.8576803,5.4963923,6.5199842,6.3838525
2,2.155827,2.213232,2.5350635,0.7019096,0.8432007,0.5968172,2.737677,4.0129538,2.1633894,1.4017391
3,0.46089983,0.18172374,0.56930196,1.440255,0.17871006,0.29993933,0.691643,0.6042132,0.60008055,0.6960129
4,0.067443,0.4172249,0.19968854,0.19665815,0.12454785,0.24589735,0.30285928,0.07970181,0.100901715,0.062733255
5,0.26670885,0.06822489,0.04017802,0.20103294,0.1661907,0.05755227,0.08150573,0.0444091,0.15902081,0.22910199
6,0.4731047,0.62849367,0.47918802,0.5221344,0.49174243,0.40570706,1.8584243,0.47799194,0.041076668,0.15015791
7,2.914057,3.8715014,0.14635316,1.6181566,0.3377986,1.4710643,1.8127396,1.280885,2.527981,1.7963682
8,3.946999,4.096257,2.948252,3.168711,4.953635,2.623932,1.5467349,1.4635576,0.8948285,3.0454488
9,5.5314746,3.5648508,4.2566595,3.6037364,5.7413483,5.536426,5.5024076,4.6703596,3.4414065,3.96108
10,5.5090356,5.7379894,5.7735295,7.8155317,6.580862,6.4391203,5.4463444,4.8812976,7.6418414,6.873163
11,3.1991744,2.8512268,3.3860855,3.382651,2.3655722,3.2761078,3.8698387,4.9077463,4.565796,2.8200138
12,3.597005,4.185883,3.4510093,3.643804,4.621234,5.3205037,5.655167,5.056827,3.6021826,4.163333
13,7.331826,3.9588618,5.094507,5.135684,6.837527,5.1586094,7.0055513,6.508619,6.829552,7.552445
14,3.0806174,1.3610876,0.5460302,1.6045444,1.0148995,1.3931834,1.7715683,0.74960244,2.8270478,3.882773
15,0.87942594,0.066083,0.464441,2.9524856,0.28401104,0.8056237,1.8465736,2.8825076,0.6643806,0.33400983
16,0.4696565,0.43969658,0.06393033,1.0997326,0.15067036,0.42252535,0.111506924,0.11610438,0.13842836,1.2350488
17,0.13721813,0.04680673,0.22690359,0.106172614,0.09683624,0.068978995,0.38198134,0.15547459,0.16740213,0.25756162
18,0.30259675,0.06465667,0.3471691,0.83852494,0.27156198,0.4600261,1.2663134,0.13914753,0.8297386,0.10691579
