time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.7812983,5.2965856,3.8916674,1.843138,3.2800558,2.8329723,3.4848814,3.4717715,3.97818,3.344109,5.323979,4.356346,4.471005,3.0013773,3.6863298
1,4.3638964,5.5982556,3.462659,6.6511517,5.3391523,7.29745,7.792596,4.3556614,6.121913,4.919341,7.7006063,4.9899316,6.053606,6.508317,6.478081
2,9.257135,8.275005,9.048547,7.8387966,9.729052,8.367209,9.659206,9.627402,9.033644,9.003112,10.633009,9.972412,9.826522,10.212618,8.90219
3,10.120329,9.570481,8.900904,10.35692,8.999842,9.409805,8.724546,8.008131,8.142079,10.567392,9.872003,8.986965,8.774939,11.268397,9.656102
4,5.32206,5.059879,4.375527,3.8394246,4.551377,6.0031857,6.0757217,5.204015,5.1922045,5.6389956,3.31862,6.595547,4.7039013,4.292199,6.0267487
5,0.3644166,0.0038042692,0.34746683,1.3287203,1.1303842,0.4808579,1.1079596,0.13131756,0.18756168,0.18780509,1.20759,0.3146172,1.1467278,0.7230123,3.2929463
6,0.92653584,0.18742758,0.35156587,2.9929118,0.06948786,0.24107018,1.7752182,0.5439361,0.72179294,0.3260339,0.556885,1.1774385,0.7270564,0.6198283,0.16199979
7,0.14325187,0.080493525,0.016353551,0.4242328,0.035278324,0.33149335,0.45013237,0.3022195,0.24474159,0.40192825,0.15368634,0.3474635,0.015619979,0.1023392,0.09197354
8,0.09926008,0.110297576,0.19661078,0.38876918,0.012042612,0.2989168,0.017997002,0.008944839,0.018521028,0.039428398,0.20746216,0.16578333,0.23637217,0.34389824,0.2215155
9,0.097343214,0.7560965,0.48417127,0.12841208,0.42693597,0.27134335,0.11878163,0.34116313,0.053511675,0.040346984,0.079228625,0.13380402,0.95440483,0.12932433,0.5861156
10,0.7104463,0.30714872,0.6989504,0.998804,0.40540248,0.2581908,1.127912,1.1308973,1.1347337,0.7409214,0.77196324,0.3951548,0.6322185,0.54840016,0.8809662
11,0.8234068,1.0007955,1.0684245,2.3945425,2.3336992,3.0777636,1.1276174,0.890681,2.7490687,0.9874144,1.0889001,1.9317514,1.6037158,1.1502081,2.8155684
12,2.3999808,3.7791212,4.277451,3.8734472,1.7973995,3.2386758,4.575153,2.646306,2.0985804,3.5545754,2.0147333,4.9182334,5.442675,3.3035436,4.289167
13,7.128458,4.4139156,5.961996,6.690857,4.3511553,6.436227,4.8608313,5.381001,6.8230557,5.9275427,5.53142,5.173076,4.6874866,4.154387,6.436627
14,10.343614,10.194152,9.00651,7.7498975,8.377294,8.2795315,8.248466,8.858843,10.829378,9.883808,9.736731,11.229722,8.295323,8.160478,9.366327
15,9.9742565,8.975589,11.203144,8.659287,10.305643,9.804327,7.488327,8.674805,10.086832,9.296325,9.527088,9.348281,9.570418,9.225626,10.794485
16,5.0526204,4.603318,3.8894517,6.931056,4.724273,4.5133114,6.515198,3.950308,4.1353893,4.54616,4.7624545,5.7713137,5.635089,4.767454,5.7842817
17,0.15410082,1.1133317,2.3767264,0.1430414,0.3825131,0.3616856,0.21276918,1.4581736,1.6545836,0.9563639,1.2267123,1.2881559,0.45976415,0.14820005,1.0063987
18,0.5346752,0.034373965,1.5823182,1.2051935,0.42228106,1.410359,0.55968106,0.5109085,0.8886725,0.27717113,1.220184,2.9123266,0.41367018,0.21636418,1.4607233
19,0.3277283,0.28986993,0.6296429,0.094608635,0.24597219,0.22269225,0.27921793,0.22054054,0.093506776,0.47651407,0.0036181633,0.097271614,0.4844842,0.566785,0.05470264
20,0.29276937,0.049833737,0.25586656,0.06337782,0.043552738,0.3096609,0.14874047,0.12558565,0.07018776,0.17849548,0.07696755,0.09295381,0.38064796,0.11928865,0.12944207
21,0.28249213,0.46047306,0.24949239,0.50556284,0.5793991,1.5271207,0.26698095,0.60883385,0.2786765,0.6544248,0.18303348,0.14664683,0.37441906,0.6551516,0.14500603
22,0.89157975,0.8291905,0.7753655,0.77521044,0.675843,0.65182495,0.67752844,0.5950146,0.5170406,0.7691762,0.5428174,1.0761006,0.5238373,0.62533337,1.7047697
23,0.7729469,1.9681157,1.0024798,0.517979,0.83631146,1.3865621,2.103186,1.830847,1.0213425,1.2230566,3.9251904,2.2898455,2.1046703,2.319539,1.6082677
24,2.6510108,2.0773098,3.1528535,2.9231467,2.1824038,4.211125,5.0430264,1.7260251,1.9863815,2.5239077,1.8516687,2.286833,5.1549735,2.1004267,1.0242534
25,6.17807,5.664459,6.1885176,7.309016,6.9669447,7.6969523,7.6502957,6.961588,5.6085405,7.7005568,5.0440006,5.72812,4.4454045,8.554908,5.9866495
26,7.5209436,9.704357,7.4086633,9.092433,9.986998,11.342168,10.030542,7.9049554,9.060419,8.755295,10.05032,8.4266615,9.112474,9.199917,8.8288145
27,10.8112545,6.35402,9.224267,11.47345,9.689811,11.318926,7.756595,8.841445,9.189462,10.748275,9.685304,9.676466,10.073867,10.915767,10.657048
28,7.025627,5.374076,7.7487965,6.1469164,6.896796,6.4645786,6.8702335,5.9398036,6.104632,5.5520887,6.8293223,5.0233455,6.281777,5.7898407,5.9564137
29,0.31461635,0.51796603,0.6778285,0.6664411,1.8836259,1.3594049,1.1771681,1.9006133,0.49421886,0.79585195,0.3610645,0.43335325,0.21737486,1.1185603,1.6382903
30,0.03876523,0.008887796,0.09618158,0.4988115,0.5442844,0.9358664,0.012536128,0.1781564,0.02767456,0.045277137,0.5536529,0.23546103,0.30516744,0.9349695,0.4145455
31,0.009032365,0.08221113,0.13298187,0.096667856,0.52456725,0.162224,0.21056518,0.52555937,0.0132312225,0.02314832,0.35735747,0.0058372417,0.029984107,0.17887665,0.41977435
32,0.13578896,0.07080777,0.08070628,0.0071928552,0.32551086,0.060373418,0.08011108,0.14112635,0.05122465,0.031355716,0.040107846,0.2562657,0.027669095,0.06700562,0.057021067
33,0.07536641,0.38676834,0.19470058,0.50475967,0.25402576,0.40098473,0.2491517,0.13739012,1.4193007,0.034596857,0.028436584,0.09281536,0.52113444,0.3220659,0.33835858
34,0.3617842,1.458337,0.2142801,1.3240579,0.8500615,0.2191062,1.1376159,0.94787556,0.7997313,0.6765498,1.3189322,0.68215936,0.9681736,1.10074,0.3178375
35,1.1635576,1.3745424,1.280546,0.98262495,1.0165082,2.369231,3.158195,1.3374925,1.6373744,2.2259784,2.420835,1.1365826,1.1756564,2.599841,1.7197913
36,1.9991343,2.3478787,5.2337704,6.0543776,4.330425,4.58159,4.0078917,3.9909503,3.66853,2.179826,4.599323,2.8559444,6.0269723,2.1772847,2.564106
37,4.9372797,5.7085657,5.778648,5.1818566,5.036739,5.503066,5.9781857,5.2080736,4.7741933,6.514732,6.6147285,5.944915,5.592171,4.4523544,7.215032
38,9.981348,7.615748,8.45255,8.175119,7.886821,9.468184,11.881184,6.715447,7.989309,9.374228,8.526133,9.307044,8.233551,10.910224,9.093003
39,9.36949,9.300076,10.637011,9.907778,8.467209,13.154257,12.081537,8.052068,9.966564,8.810328,8.575369,9.312456,10.372118,10.19229,9.338501
40,5.5843587,7.7248898,5.643204,4.8187833,4.886939,4.5850167,4.902572,4.413257,6.599076,5.9570546,4.2349486,8.008808,4.239721,6.921848,5.479914
41,0.90810937,0.4768264,1.9102944,0.46475756,0.74739546,1.7647392,0.05660786,0.86362016,0.6892923,0.48745397,2.5463564,0.3922752,1.6693391,0.8278068,0.5577582
