time,0,1,2,3,4,5,6,7,8,9
0,0.2484335,0.48424414,0.48066983,0.44971073,0.67216706,0.4997508,0.5609191,0.6004541,0.33100778,0.46440074
1,1.940207,1.3103106,1.4325783,1.724293,1.7215966,2.9110358,2.3031688,3.1579795,1.7749234,3.25436
2,6.080887,4.770831,4.1024904,8.214787,6.8505993,6.119064,4.932048,7.552103,8.713187,3.8623235
3,6.9088674,8.956705,7.5789514,8.990106,12.413633,7.9318686,6.7773256,7.1318064,6.9204125,7.624589
4,8.197504,10.422762,8.156185,8.187531,11.161652,9.089198,6.064156,6.933572,8.353114,6.594032
5,8.893139,5.841399,11.018734,5.412855,9.303571,7.9145,6.4352827,13.330748,13.054218,8.615545
6,12.642257,10.138462,8.633175,10.056646,10.94034,5.6597013,9.374613,3.5563054,10.433417,17.64438
7,6.3717947,8.101167,6.192592,4.089535,4.1912766,9.33854,6.7895527,3.6552663,7.3112674,6.4435587
8,1.0001458,1.9842206,3.137515,2.4054441,1.2793274,1.826924,3.0138228,2.0197349,2.0827792,0.474027
9,0.14043614,0.09354107,0.10502021,0.095004745,0.31148112,0.55009216,0.39289302,0.23218086,0.1777797,0.06807318
10,0.058931336,0.18721819,0.2335917,0.20741555,0.5269411,0.07151237,0.08544358,0.030969469,0.28366143,0.09752699
11,0.13734116,0.036072936,0.21297267,0.10077714,0.19372393,0.39135692,0.18586048,0.30473477,0.32795227,0.022062689
12,0.86212707,0.7754875,0.5921183,0.7852729,1.2468051,0.9155294,0.64747566,0.4413064,0.75203556,0.24942486
13,2.5364888,3.0528028,2.9765015,7.370746,4.995864,5.595153,2.762656,3.457387,1.7069777,2.2852826
14,7.19681,8.724511,3.0709417,7.2650685,4.1408606,5.343852,2.4324841,8.990838,6.6551847,6.140768
15,6.1368356,11.471682,8.24069,9.881332,5.8730536,7.333033,8.570195,5.546185,6.742035,4.6423216
16,12.646173,11.280961,8.737602,4.4240007,10.831034,12.079885,7.5324802,10.311773,9.196088,10.531865
17,14.872979,6.7739925,6.5952272,9.674664,9.51207,13.727762,12.052677,12.190521,14.02073,6.850054
18,7.2889204,9.61961,10.043029,9.521567,8.974365,10.10718,8.601747,9.423247,11.682618,15.153223
19,9.160479,3.8503878,6.104174,3.15652,6.2815704,3.8172011,2.3674982,8.590719,3.2953737,3.9497118
20,2.7585058,1.5621578,1.9772624,1.475402,2.4339845,0.9658379,0.9275802,1.2254033,1.5765752,1.8220156
21,0.653112,0.14257056,0.8190399,0.5850879,0.45399714,0.3641179,0.6429651,0.4368369,0.39282316,0.43657193
22,0.14183486,0.21462117,0.23047246,0.22912799,0.2014437,0.30451712,0.38042754,0.2659695,0.13537064,0.19722833
23,0.34265095,0.79179674,0.28565466,0.16127802,0.047209878,0.25291067,0.27455613,0.20592982,0.20669277,0.020141413
24,0.90494215,0.21189712,0.79815954,0.5414111,0.7123092,0.4529951,0.62199473,1.1799197,0.5152727,0.559029
25,5.3904047,2.1987789,3.5644162,3.7860887,2.767134,3.629935,2.5220857,3.4601939,1.5044632,3.415412
26,7.563068,8.417008,7.8488693,5.699044,6.06993,6.0796514,6.1529136,4.1018186,4.787078,8.731288
27,9.073177,5.759123,7.353409,5.06899,6.153448,11.940296,9.860703,6.7280264,6.0728083,7.6590934
28,8.490473,11.294854,10.985947,8.580579,8.635366,8.49946,12.460196,8.767918,9.658809,6.965488
29,10.475926,8.204828,9.578846,9.32396,12.108431,12.91222,10.297913,12.34564,12.103744,11.377976
30,13.025847,12.482088,11.533998,11.871802,8.887045,12.884907,10.050304,9.3167,9.116754,8.373006
31,5.146505,7.099093,5.8726144,4.7428846,3.3429677,5.1914244,7.344852,4.460155,4.070793,5.3677926
32,1.0410874,1.0945323,2.3729649,1.5730659,1.3852495,1.1646316,1.6157094,0.5830469,2.5164783,1.7241426
