time,0,1,2,3,4,5,6,7,8,9
0,3.847371,3.299622,3.4091742,3.4398909,2.6536937,3.3668113,3.2034087,3.235195,3.8185067,3.741712
1,3.7483804,4.074518,4.6438136,3.8660965,3.1722739,3.784918,3.1773458,3.8152795,4.029017,4.042928
2,6.3437915,6.325207,5.5958385,5.3531804,5.219941,6.4839196,6.515503,5.8997393,6.260282,5.808246
3,1.7103295,1.8890824,1.3369704,2.536508,3.270105,1.2658207,1.698312,1.4694117,1.6381276,2.4001927
4,0.5330677,1.730821,0.29665354,0.4413883,0.6330358,1.2192883,0.2247511,1.0983055,0.44028467,0.4621321
5,0.17229724,0.13979743,0.13983355,0.15537167,0.051012535,0.23378803,0.14019567,0.41825697,1.2296177,0.09423765
6,0.2676895,0.016582914,0.08594083,0.15768081,0.19086725,0.15177557,0.12762043,0.09769853,0.07434773,0.3020803
7,0.18409663,0.7621014,0.10511406,0.43760553,0.44647497,0.09802575,0.10930923,0.03490141,0.013302802,0.05334309
8,1.4059806,3.3248923,0.9470454,0.66315687,5.9872174,3.8504338,1.0858827,0.24730688,0.019689146,0.40423033
9,1.0081506,7.658458,1.0718772,3.908178,0.8170767,0.83854496,0.94929785,4.057,4.6722827,1.8547473
10,2.990189,7.011245,3.2595778,3.4975972,7.896915,6.442906,6.949793,1.235936,2.7813725,3.7097082
11,5.4107533,4.113188,5.1074758,5.8698273,6.9954505,5.5326114,5.010786,4.2928944,5.34429,6.3743253
12,5.1048126,2.8650324,3.8310683,2.6847963,2.0893912,3.8616824,4.584247,3.268152,3.937349,3.2230031
13,3.6873746,2.231499,3.6642046,3.9054437,4.5882754,3.6653242,4.3811855,4.272539,3.9663813,3.5447862
14,5.7292933,6.6496167,5.908621,6.356702,6.009095,5.629864,3.7844942,6.010537,6.025345,5.834147
15,2.0705626,1.2985376,1.3365378,3.1856942,2.691069,0.8081103,3.2884526,1.0020967,2.9292243,2.6007419
16,0.40172842,0.35021707,0.1583307,1.7032388,2.2763965,0.65929705,0.13681398,0.42401096,0.69241494,2.9429183
17,0.17089073,0.14201602,0.114194795,0.32875326,0.11416523,0.07869189,0.087422974,0.6990227,0.11902944,0.49677107
18,0.098414294,0.4036924,0.29783207,0.21448629,0.12197551,0.03744411,0.13213769,0.21036103,0.38602644,0.04571328
19,0.03851775,2.1719975,0.13366212,0.18651485,0.12307498,0.13506442,0.25048295,0.45058018,0.11452316,0.044585485
20,0.23136955,2.9578161,0.3855389,0.6836325,0.2854646,2.0832932,0.97326154,3.165985,1.9784839,1.496877
21,4.335636,3.567629,4.373756,3.6457114,2.071815,2.9792075,1.9232526,2.9418378,6.679063,1.6837343
22,9.238954,4.1436467,3.1282032,5.0579214,6.2030706,4.407445,3.752817,2.284885,2.7973595,7.7934947
23,5.583274,5.563751,4.5264764,5.1915255,5.5992756,4.9703856,4.7977667,3.684748,5.3843417,5.385314
24,5.1633725,3.756106,4.047122,3.8480859,4.694478,4.5061064,3.8812819,5.309001,5.245363,3.5727358
25,4.1226315,3.7825277,4.825249,5.4046383,3.8732038,5.527644,5.6374993,3.8074508,4.58484,3.524268
26,4.895435,7.053215,7.2088213,8.158077,5.5042067,5.981478,5.560195,7.6503506,5.071576,7.7763705
27,0.68875986,1.5194957,3.338403,2.938784,2.5167677,1.4819176,1.6880221,1.7853293,0.53634185,1.9134765
28,0.94490814,0.37934527,0.05192711,0.92497754,0.6875417,0.38900402,0.2265296,0.07238102,0.10135816,0.46381825
29,0.15843143,0.18334374,0.21820432,0.06636354,0.055796403,0.08506058,0.23472016,0.11895992,0.23345914,0.13170579
30,0.083302446,0.1271031,0.41068113,0.11203992,0.057945233,0.06288067,0.058318302,0.09491769,0.08955204,0.52627116
31,0.91878074,0.06644313,0.016032329,0.058863327,0.21006393,0.19541846,0.5489555,0.66978455,0.36330917,0.5001655
32,0.6814713,4.0045223,1.5339037,1.5203464,1.8504746,0.652619,0.8701513,0.3240785,0.97299165,4.3710284
33,4.636118,1.4257286,2.6376204,1.3879317,1.2405541,1.8899218,3.3105485,3.3388383,2.9627357,4.1285343
34,3.224384,0.95866203,3.5142705,3.60368,7.1070447,7.363792,2.5082464,7.889119,6.6279974,2.5387518
