time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.015192692,0.028318845,0.014642308,0.02940923,0.07349192,0.034144614,0.6809088,0.23611498,0.30595154,0.17745231,0.12030577,0.033874612,0.005784231,0.13057613,0.022430768,0.18424386,0.15448155,0.15475152,0.14232115,0.12488539,0.11797961,0.14475116,0.10626577,0.11428269,,,,
1,0.9014677,1.1123376,0.42372343,0.55018723,0.03546346,0.24796383,0.11539385,0.003281538,0.70167816,0.022461921,0.2012123,0.00031153846,0.20433807,0.07571422,0.071373455,0.035359617,0.034206923,0.08948423,0.027560767,0.08375192,0.4112827,0.30462232,0.35147768,0.28122577,,,,
2,0.70669377,0.7517735,1.1918838,0.5078804,1.1983638,1.7844819,0.6925396,0.6590596,0.49242803,1.0966051,1.3914139,0.99109733,0.6074377,0.71792996,0.8319634,1.8454603,1.1282676,0.661583,0.87699115,0.3645311,0.9269515,0.78301024,0.6729231,0.96712947,,,,
3,1.5331327,1.0310261,1.2586983,1.9001975,1.5349395,1.7534629,0.7336731,3.0525992,2.1930852,2.366602,2.0315423,0.74209493,1.4429215,2.0006688,2.1908112,3.1558638,0.5766681,1.0344322,1.5353446,0.80602264,2.4044745,1.0722426,0.6261922,1.1246434,,,,
4,1.7478658,3.5970125,4.328941,3.0995688,3.9110641,4.0946226,4.4388933,3.450797,3.0448732,2.7366889,3.1368394,2.5345106,4.5108485,4.0670514,3.922155,3.1017392,2.0877435,2.8915443,1.9882798,4.4355803,2.9140995,4.607768,4.208729,4.3227,,,,
5,7.609898,5.1863256,5.3861055,5.0874853,6.8728814,6.918719,6.1343265,7.109713,6.927898,6.6220503,6.38281,6.881562,5.2277193,6.1607866,6.768484,6.1710887,6.581551,7.852025,7.405425,6.344595,7.229146,8.757387,7.488772,7.9097643,,,,
6,7.997805,7.4807234,6.8370748,7.883781,8.028408,7.475002,7.8608522,8.134196,8.114684,8.03604,7.190391,8.175413,7.922579,7.9405956,8.310724,8.235436,8.250794,8.03951,7.950046,8.101671,8.375764,7.821203,8.170127,8.531149,,,,
7,6.5779166,5.9721503,7.2096853,6.88689,7.8714137,7.02567,6.3834534,7.6462545,7.71149,6.0705447,8.328742,7.330437,7.092017,7.5213065,7.3231473,7.856605,7.44498,8.336676,8.223005,9.48321,7.445748,8.069614,6.086589,8.282187,,,,
8,3.6319258,6.1004004,5.7656837,4.2985973,5.67486,6.4212117,9.0136175,6.5672936,7.2036414,6.1518354,7.123794,7.2576,5.1967316,6.6987305,6.550916,5.985619,5.8240147,5.7098975,4.445467,3.6010625,4.8338513,5.6327395,3.97683,4.4011455,,,,
9,1.1030434,1.5293318,1.2494665,0.16022421,0.62688804,0.34818575,0.6610534,2.0833614,1.0956496,0.90745956,0.95640224,1.4562033,1.4569405,1.8494271,1.9523699,1.3443196,1.0080034,1.0954522,2.1306944,1.3837707,1.8580467,1.3284831,1.758728,1.7146556,,,,
10,0.3058996,1.4903064,0.8037277,0.82839113,1.2013441,0.29640806,0.30554652,1.0873834,0.25779808,0.8651942,0.12614194,0.28621036,0.9874108,1.4341881,0.13725346,0.24310385,0.093617305,0.11360768,0.022129614,0.2947154,0.03392654,0.038963076,0.046450384,0.018983077,0.0034269232,0.062151916,0.005805,0.026916921
