time,0,1,2,3,4,5,6,7,8,9
0,6.6645284,6.9251046,6.119453,6.530484,6.53566,7.511193,6.7824273,7.892118,6.9700994,7.2838907
1,7.329822,6.7887373,5.506694,6.774276,6.129168,6.0902863,7.2717977,6.140292,6.799471,7.002065
2,4.5206923,4.1366143,3.8888574,3.7674572,4.5178876,4.7292037,2.2425103,2.9303675,3.4103875,5.2620993
3,0.35576364,1.4685358,0.43214124,1.472231,0.7246119,0.73800224,1.0998338,1.1021117,1.4490726,1.1403304
4,0.3874409,0.23211361,0.22812591,0.93907326,0.5497266,0.38460797,0.690346,0.19231977,0.23467901,0.27491152
5,0.3713605,0.33855012,0.48311228,0.65073997,0.22017047,0.17773643,0.11946794,0.096857734,0.35578856,0.3157953
6,2.0066283,0.64341253,1.126234,1.1796242,1.1013342,0.4151703,1.4948913,0.566239,0.9500228,0.7055076
7,1.671516,1.7061108,1.2688904,2.5262017,3.0292125,2.1068027,2.1531744,1.8752923,1.0940284,1.839795
8,3.894274,3.9279552,4.3608694,4.173293,2.0206485,7.158524,4.295034,4.2493334,1.2637628,2.9163954
9,5.058448,4.3568597,5.865671,6.4865546,7.136469,8.746134,7.328402,8.191283,6.219599,8.352173
10,6.450541,7.5858326,7.1168146,7.551347,8.141259,8.256979,7.4647956,7.1728597,8.019409,7.1668606
11,5.9271097,6.6345034,6.101945,5.8676004,6.7398214,7.500341,5.735053,6.134854,5.304385,6.5430603
12,5.5230103,6.8557796,6.505633,7.191263,7.4763265,6.939392,6.186014,6.583022,7.462281,6.5848646
13,7.7027364,5.960404,6.5272923,7.381353,7.504836,7.419238,7.798653,6.2673726,6.3666034,6.2710733
14,8.082149,3.965602,2.544191,3.4119327,3.0111048,3.1870768,1.8781401,3.4501114,2.8755083,4.2963595
15,1.4363785,0.88510317,3.903896,0.8228454,1.7325377,2.0669024,0.33629873,0.29838574,1.4192613,0.58579534
16,0.55600893,0.83626395,0.58268,0.8825179,1.436086,0.60429823,0.42136115,0.27046192,0.2729725,0.29261023
17,0.37171605,0.6438744,0.488479,0.53937364,0.645639,0.3449537,0.30189326,0.2238192,1.1506819,0.5428595
18,0.22210449,0.5016334,0.42293134,1.4479344,0.8633636,2.0780978,0.7558455,0.849636,0.8111681,0.21330331
19,0.9685458,1.3393013,2.2051857,1.6987602,1.7904258,1.5397146,2.0338044,1.7192154,2.793106,1.4676102
20,3.4044826,2.7395082,1.9343832,4.563055,6.557617,4.404536,4.212826,3.7720745,2.2416713,2.7546363
21,6.107676,4.7722445,7.1116886,7.163531,5.035209,4.690857,5.9548926,4.590786,5.1178327,4.228248
22,7.19218,7.7061853,8.8671,6.179847,8.552629,8.289816,6.736774,6.690789,7.339183,6.9739656
23,6.000397,6.7324724,6.424581,6.290543,7.133983,6.368438,6.604423,7.0212145,5.804523,6.2584767
24,6.6752777,6.2390356,7.143504,5.3691173,7.53839,6.2417707,6.273346,6.1115627,6.351324,7.4337535
25,7.1541243,6.7170234,6.46259,5.2771177,5.7470503,6.7725344,6.998947,5.899886,6.6559772,7.027693
26,3.7449899,2.9242046,3.4573858,4.280818,2.0034366,2.6102705,2.693083,6.2459793,3.5731816,5.154797
27,1.3592465,0.9898482,1.0466862,0.72216785,1.5760988,1.4279145,1.960662,1.8610924,0.8342601,1.104624
28,1.0717887,0.3412584,0.40373227,0.7927914,0.57068866,0.03382892,0.12427975,0.382649,0.9732147,0.4927591
