time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2.1122308,3.5614865,2.18025,2.4537807,3.5898993,1.9720075,4.571993,1.4881985,2.0308778,2.1130617,2.0421865,1.0386587,2.661878,1.4328485,3.0237093,2.2841895,3.2499695,1.8784106,1.1653718,1.3779346,3.9109397,2.3524165,3.2378297,1.789508,,,,
1,0.5535831,0.85074925,0.90776074,0.8963169,0.69714,0.5825561,0.50148344,0.53440267,1.4001266,2.092988,1.80333,1.6547884,0.4623542,1.1060965,0.96360916,0.8941984,1.8536122,0.49582383,2.0704222,1.2713158,1.136648,2.09304,0.67436653,1.326188,,,,
2,0.69137657,1.1394311,0.5692534,0.09486345,0.67038924,0.36431307,0.25293806,0.74081767,0.4833727,1.5211593,0.8347673,0.064208075,0.41478226,0.26268923,0.8099376,1.3680068,0.33357462,1.3625133,1.0665934,1.2443053,1.5730304,0.10565308,0.74932265,0.34379306,,,,
3,0.11733576,0.11754346,0.43430534,0.040541533,1.0829804,0.04124769,0.5089811,0.10148884,0.57942003,0.158355,0.1461946,0.5203004,0.95744073,0.23463,0.6058177,0.15521884,0.23015422,0.6422573,0.33817497,0.031288844,0.28677115,0.0052026925,0.66588223,0.56913924,,,,
4,0.12305769,0.078871146,0.016490769,0.26404962,0.12039922,1.2776606,0.3705438,0.60078114,0.020966537,0.7295815,0.47452497,0.4615235,0.10915268,0.63366926,0.69667256,0.4453131,0.47530383,0.45349613,0.41584155,0.13065924,0.92292225,0.8172173,0.6927888,0.6372,,,,
5,1.3695438,1.026218,1.2179492,0.6809816,0.8688081,0.6645426,0.4608173,1.1784669,0.39097038,0.1966223,0.7666858,0.7573084,0.23331115,0.090076156,0.68779385,0.351405,0.15687,0.32086384,0.43529195,0.102869995,1.0135385,0.50686264,0.78414226,1.4633688,,,,
6,1.0610377,1.2569122,1.1370218,1.9446855,0.78370607,1.4073542,0.82226413,0.99584305,0.90175843,1.1885918,0.8991312,1.7156215,1.130251,0.78529507,1.5917329,2.1336439,2.010617,1.1998696,1.1188384,1.986442,2.9237676,1.7225585,1.4068246,0.9258404,,,,
7,1.5749828,2.7968364,0.3430246,2.1823893,2.0179281,3.2538323,1.0262803,3.2023764,1.6890992,1.5922523,3.3457048,1.2840368,1.8240266,1.957261,2.5856862,1.4756124,1.6734079,0.6589973,2.190053,2.1039438,1.6439158,1.8537369,1.4432018,0.91134346,,,,
8,2.3177528,2.9967716,4.0145674,3.3966622,0.7722,3.0943973,1.6269265,3.0920088,1.8795218,2.3799462,3.370867,1.4895381,1.6271237,2.1079106,3.089994,2.0225596,3.777788,4.238065,2.4022315,1.9828593,3.0065227,2.5243235,1.6315581,3.5852573,,,,
9,3.366578,6.1764784,3.687037,4.542407,2.39733,2.5483742,3.7198105,4.4848247,4.266488,4.5994496,2.4967833,3.8141444,4.148331,4.4155073,3.6550212,2.7888093,4.2483873,4.205478,2.3869867,0.55345845,2.0374198,4.3838034,2.7156496,3.1652932,,,,
10,5.943925,3.6601613,5.763098,7.184783,6.327003,5.365834,6.4547343,4.555066,6.568539,6.1952744,6.7506127,6.8167524,4.3659415,2.945056,6.804955,4.585078,3.5743532,5.0373793,3.7970617,5.448558,7.312337,3.2187529,5.6024065,6.4234242,5.31145,5.6255746,5.377268,7.457244
11,3.7163734,4.2202144,6.702563,5.224178,6.189791,6.753271,6.680215,6.270428,3.4334133,3.93066,7.2457094,6.077461,6.2875943,4.573156,6.6636,5.277077,5.18804,6.828497,5.6193957,4.3870845,8.66351,8.060154,5.0990644,6.937972,,,,
12,3.3563385,3.1130168,5.7902226,3.7665312,1.9236876,5.6670094,4.6701384,2.179606,3.3091924,2.7807195,2.6229045,2.8740563,3.90096,2.7420056,3.1866543,3.831383,0.96183354,3.5979369,1.3059589,2.715743,3.0346026,2.2678962,4.5116687,2.3331842,,,,
13,1.7241578,0.40817767,1.8181695,1.198177,0.93079376,0.41598696,1.5578583,0.57276344,0.36977535,0.6180195,2.1002364,1.3355135,0.65909076,1.3044115,1.2756876,1.6067492,0.50279194,0.8244865,1.7375227,1.0438615,1.3540189,0.7189061,1.0285233,1.3367596,,,,
14,0.976725,0.034206923,0.16270615,0.21532498,0.8543631,1.2331314,0.089214236,0.33643037,0.7600396,0.4205042,0.017041154,0.2577877,0.6967143,0.003426923,0.09805154,0.51282346,1.201043,0.4650127,1.0788162,0.40306848,0.9768392,0.40676534,0.15685962,0.30467424,,,,
15,0.07439539,0.030769615,0.5179015,0.5794927,1.2553132,0.29928464,0.005649231,0.3577396,1.2148337,0.038204994,0.93734646,0.33879805,0.24877383,0.12679616,0.54592955,0.6185493,0.8428465,0.20800385,0.12687923,0.6646465,0.8741458,0.28992808,0.05748923,0.33214152,,,,
16,1.1767223,0.6385396,0.16278924,0.4101508,0.7637054,0.55579495,0.054363463,0.04176692,1.2780864,1.0785877,0.6479792,0.50328,0.40294382,0.14584152,0.79363376,0.1866946,1.4608454,0.88772875,0.8151611,1.549021,0.16612269,0.28494343,0.5972192,0.5647154,,,,
17,0.66051346,0.6854158,1.4489343,2.278021,0.046813846,0.37508196,0.60637844,0.16182348,0.7972581,1.3364168,1.1439588,0.8147042,1.2250417,1.0916203,0.19612385,0.5870838,0.9663611,0.42750347,0.9787188,0.3201369,0.51375806,1.4305742,1.8687427,1.0958054,,,,
18,1.4908879,1.3058032,0.9242204,1.1198976,0.70423263,1.825958,1.3274862,1.366335,1.1569291,0.81372803,0.45078576,0.7154792,1.2197977,0.9683653,2.1429586,1.9887474,0.60798806,1.0275784,0.6420288,0.9992284,0.6753323,1.6109446,0.59409344,0.6103869,,,,
19,2.6582224,2.6208587,1.3276731,0.96393114,2.1406221,1.9563266,3.8417573,2.5562456,1.6350576,0.8543215,0.91225725,1.328265,1.3011715,2.3637564,0.9880028,2.23263,1.8847765,1.4195665,1.3858062,1.9096373,1.873748,1.2686884,1.3728772,2.236192,,,,
20,2.3841207,0.5638119,1.8111185,1.422983,4.6910734,2.088616,2.6938937,2.936281,2.427092,4.36375,1.9053173,2.5889158,2.9294896,4.1767445,3.0767746,3.3974826,2.2095137,3.1109085,3.394274,3.4307134,1.9667214,2.1521285,2.8686357,2.1022925,,,,
