time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,1.2484279,1.9906478,1.8277026,0.54027,0.9694246,0.26564887,0.3455481,1.0263635,1.2618968,1.6188161,1.0276927,1.2558011,0.49678957,1.0757527,1.080997,1.2934868,0.60637844,0.3161077,0.73498154,1.1160035,0.6807323,1.160408,0.9993115,0.75611424,,,,
1,2.1096344,0.4978073,1.0712458,1.0486281,2.2616134,2.3491766,1.8243898,2.189274,2.4583082,1.5187707,2.0731328,1.1391509,2.5851252,1.2658741,0.94074225,1.7489043,1.6881334,1.9553297,0.7929381,3.0182366,0.7714419,0.4191646,1.3226987,3.1962392,,,,
2,1.8434042,1.9994744,3.5554118,2.7800233,1.3736249,3.8361285,1.4782914,2.710426,2.8770993,2.201175,1.6239668,3.1223216,2.477956,2.3196218,2.7678945,3.8768575,4.607259,1.3408822,1.7988334,3.0885608,1.6150464,4.1650715,1.2428411,2.1271327,,,,
3,2.7644885,5.02148,3.9094026,3.105166,6.4030704,6.484652,4.5300083,3.6977122,4.718105,3.007665,3.0244257,4.6339893,3.0259416,7.0533657,4.271545,5.2366085,3.7305174,4.28842,4.553643,6.150507,5.8630295,3.6220293,6.300803,6.19327,,,,
4,3.779802,5.976159,5.9436865,5.542695,6.1131635,4.780807,8.836622,4.190016,6.909601,5.708205,7.487941,6.565974,6.927691,7.2498007,7.308121,7.8274455,7.8012867,7.401073,7.9437532,7.442695,7.222448,5.8135777,6.1674337,8.1161585,,,,
5,6.7909465,6.992117,6.542162,5.6923885,8.00606,7.6627245,7.112579,6.766605,7.1660075,7.440649,5.768155,7.0748515,7.2315555,8.37245,8.7449045,7.3153696,8.787481,8.276964,9.636715,8.031524,3.9275029,6.808102,6.9132566,8.139045,,,,
6,2.3679414,4.8432393,3.805889,3.5633147,2.6517117,3.9903612,3.2070184,2.4191895,5.664132,3.95443,4.1595883,4.0647254,2.8497772,4.4099827,3.6780853,3.416528,3.3132734,4.6869297,2.8509092,5.335304,4.0784845,3.9990323,3.653266,4.9756117,,,,
7,0.47037113,0.95220685,1.7605141,0.48847154,1.9139469,1.6762638,1.4366698,0.7942881,1.5275146,0.17889577,1.6174144,1.6918095,0.7324477,0.9545746,0.9032227,1.304235,0.098633066,0.91368,1.5023111,1.3924211,0.8338534,1.6966903,1.086885,1.1321411,,,,
8,0.14340115,0.17351653,0.6291727,0.69738925,0.7232365,0.23900191,0.22744384,0.8055865,0.42467883,0.93312,0.80908614,0.05562,0.5366977,0.18229152,0.6402427,0.14916462,0.4849823,0.18175155,0.5475392,1.2937152,1.2251042,1.0049089,0.26166117,0.15515652,,,,
9,0.09977539,0.33720922,0.6351023,0.11452153,0.093565375,0.5854639,0.057032306,0.061092693,0.20717308,0.16857345,0.4622088,0.49893922,0.036647305,0.069441915,0.05451923,0.61796767,0.28434116,0.5245788,0.015639229,1.0560114,0.38405424,0.3763904,0.38971388,0.16583191,,,,
