time,0,1,2,3,4,5,6,7,8,9
0,0.042332675,0.019463262,0.052321848,0.041948862,0.4877529,0.03467465,0.10602278,0.056432493,0.032112554,0.14550757
1,0.29935607,0.28593415,0.17964886,0.122997046,0.20798475,0.22739983,0.28291348,0.35919636,0.07957606,0.2855487
2,1.5307705,2.2728581,1.4075773,1.8132951,1.8487873,1.253709,1.1730944,0.81699014,1.8971496,1.0081235
3,1.7365502,3.0552568,2.7778282,4.483241,3.1204123,2.5662844,1.705654,2.8938117,1.8220464,3.0897803
4,4.9001226,4.1787357,5.603015,5.151341,4.5463214,4.2770176,3.5989306,3.0613914,6.2535405,7.082479
5,4.740283,5.401758,5.7671204,6.557956,5.733202,5.74662,6.401469,5.7446065,5.4191895,5.832256
6,6.1237497,5.8690524,6.213363,6.443343,6.640119,6.3818097,6.067611,6.4096384,6.3153934,6.4567447
7,7.1911917,6.3825107,6.0433397,6.3211718,6.2972975,6.718137,6.411242,6.2382627,6.237394,6.5250235
8,6.785688,6.717168,6.222572,5.1327925,6.0686064,4.8657656,6.3662424,6.0420084,5.4610415,5.2553782
9,1.9836094,3.0556624,3.6684725,1.9805605,3.048049,3.194542,2.8845057,3.0556142,3.4849074,3.6914866
10,0.19212201,0.39086863,0.33571717,0.6415034,0.57987195,0.34567642,0.12880081,0.27348593,0.28658712,0.28859094
11,0.33154008,0.09586745,0.04961686,0.33891064,0.21642202,0.11567133,0.13135956,0.29990932,0.030804923,0.22263953
12,0.5181208,0.6255958,0.5250628,0.5487796,0.3730254,0.5173964,0.48134774,0.35525686,0.3410856,0.61046255
13,0.049370952,0.23637047,0.13840117,0.17070316,0.38231167,0.15948278,0.025556121,0.07410794,0.36376396,0.3764631
14,1.1742591,1.3166945,1.9085577,0.77663964,1.5873507,1.3442528,1.1168346,1.379921,1.726061,1.4140589
15,4.3208823,3.6539857,2.952539,2.2711885,3.3325577,3.2048686,3.247643,4.7802477,2.3862536,2.3579423
16,3.718902,4.726592,6.215171,2.552748,3.780922,3.0745955,3.3487577,3.8873122,4.0639834,3.4577029
17,5.703098,5.5788245,5.665817,6.039661,5.658459,5.8704348,6.0298443,6.31469,6.2988973,5.972297
18,6.920631,5.749421,5.769827,6.4548545,6.5179696,6.546634,6.7067866,6.512639,6.4808636,6.990408
19,5.6711087,6.320476,6.948288,6.939735,6.149188,6.39315,7.3932247,6.6548104,6.556258,5.7122345
20,5.1402225,5.6422644,5.4817114,6.827836,6.0538797,5.9392724,5.429077,5.2337637,7.5491567,5.5419188
21,2.0785613,1.5986143,1.9157157,3.0045736,1.8592333,2.3711169,2.2063868,2.8830054,2.3472073,2.4177363
22,0.49933556,0.39420334,0.3459772,0.35339594,0.38738936,0.2863263,0.0950965,0.3704616,0.5291701,0.18716566
23,0.30953133,0.11775324,0.32435724,0.1697112,0.09983686,0.0571536,0.20203808,0.19589707,0.22046123,0.06883754
24,0.25880787,0.20435596,0.24038307,0.35608265,0.05432898,0.4605519,0.324427,0.34701064,0.114197545,0.100896925
25,0.21117489,0.9780215,0.4766555,0.12819268,0.99424803,0.31915662,0.43296704,0.8980184,0.17374875,0.27580875
26,1.8341159,1.7880064,2.6084325,1.8029702,1.5488563,1.3503722,1.0772767,1.7315724,1.0384417,1.240458
27,1.490754,0.72903323,1.1374078,1.504367,2.804569,0.9706243,2.693829,1.5596365,2.0129154,1.2096747
28,3.7451642,3.6893349,3.500553,4.1335673,3.5466802,2.47695,4.4875164,4.3534718,3.7007446,4.383187
29,6.2441382,6.094549,6.355099,6.3078485,5.8495693,5.5143104,6.6934943,5.9157643,5.882059,6.3575583
30,6.2472053,6.5705743,6.0296984,6.138552,6.3358555,6.26727,5.354101,6.120927,5.80453,6.2724466
31,6.988667,6.5696306,5.661601,7.2402225,6.7236714,6.7922645,6.826045,8.330679,6.3379817,6.2289853
32,6.4419427,7.110451,5.8168817,6.103446,6.03954,6.8570685,6.8156476,6.667048,5.82447,6.058813
33,2.3752291,2.6446278,1.9987178,1.8252914,2.2538073,1.4300663,3.0414693,1.4637223,1.3944013,1.6729382
34,0.4332827,0.4666713,0.37326795,0.7000161,0.31843054,0.3967488,0.9752683,0.584707,0.40851915,0.26371604
35,0.4576525,0.23682906,0.65811706,0.42810535,0.39200512,0.31494793,0.46835947,0.1490616,0.32161903,0.5990428
36,0.43098325,0.35817954,0.4175878,0.13528082,0.08699317,0.1036019,0.21900906,0.22343205,0.1229987,0.24345359
37,0.3658209,0.54955053,0.24480775,0.34079152,0.2693254,0.58645,0.57131666,0.8775149,0.67983174,1.0113918
38,0.97642636,0.59107405,0.95399225,1.1535364,0.51708406,0.7521735,1.0305626,1.329628,0.6207358,1.3138434
39,3.2924182,3.7587276,4.118791,3.7139971,4.8190084,4.721303,2.8966615,3.250514,2.8674083,4.6607585
40,6.091258,5.1399264,4.830727,5.1424212,4.3170857,4.1328893,3.6415324,4.6620893,4.854545,3.8591871
41,5.455165,6.1756825,6.749595,5.1018243,6.107363,6.2753577,5.55338,5.8284388,5.8525195,5.401981
42,6.2270956,5.655752,5.7809725,5.993912,5.118454,6.0756845,5.72911,5.0959682,6.00429,5.8715234
43,6.800878,6.6824217,6.462494,7.1986337,6.146792,6.883711,7.2436547,6.9379916,7.558842,6.5037436
44,6.312899,5.680511,5.1386466,6.611097,5.1754932,4.9703627,4.9014554,5.883488,5.3508606,5.0522075
45,3.2773314,3.4242613,4.7721014,2.268962,3.8031185,3.6697516,2.0508254,2.5296326,3.284295,2.914028
46,1.0058987,1.3927099,0.6374908,0.76701266,0.5623677,1.001695,0.67269707,0.43190363,1.0657442,0.7923279
47,0.038323388,0.14148997,0.059310276,0.057593904,0.15938474,0.13912395,0.038421415,0.06808819,0.13646382,0.017361416
48,0.04845379,0.036196616,0.051936373,0.19787595,0.031529352,0.1362694,0.33351898,0.26363963,0.2535873,0.24250984
49,0.24930555,0.6188999,0.18315473,0.15682432,0.52088064,0.021058338,0.47310477,0.13000873,0.5475002,0.4075538
50,1.3149731,1.6509347,1.6064502,2.0434282,1.4403129,2.218943,1.6053121,1.0048388,1.5391312,1.5203458
51,2.3146195,2.3023572,1.791848,1.7119612,1.7702115,3.109071,2.3726652,2.249788,2.3850205,0.84288687
52,4.6762323,4.929675,4.688732,6.2894034,5.2267985,4.7655916,5.650047,4.40906,6.091813,5.15417
53,6.671984,5.667458,6.1782484,6.662884,6.6906,6.8587375,7.0903625,7.0110826,6.037147,7.282633
54,5.774903,5.8548894,5.757494,6.67338,5.4527006,5.6728945,5.552003,5.8879657,5.5687113,6.0849175
55,6.9820423,6.9517956,6.9334903,7.5148396,7.6972013,6.6391425,6.0608373,7.3309336,6.5617213,6.865793
56,5.090261,6.3230333,4.4150553,6.375695,6.206644,6.3154445,6.9252253,4.629229,5.735031,5.422243
57,2.2893493,2.8244874,3.711023,3.5689948,2.5036428,2.2271345,1.8257201,1.8138766,2.993813,2.3601224
58,0.4454934,0.7046352,0.5824374,0.34653047,0.17227162,0.22845986,0.24710734,0.38884157,0.30989355,0.35179588
59,0.08581515,0.09997643,0.12092013,0.37609923,0.33767617,0.2026163,0.19626091,0.22331244,0.06859496,0.13254592
60,0.17243947,0.05273557,0.019243939,0.025217172,0.026865419,0.16436936,0.22193667,0.019780615,0.028287696,0.005489723
61,0.6026998,0.4926146,0.5104113,0.20474309,0.3580848,0.82311285,0.18934561,1.0113187,0.70775723,0.67965895
62,1.1979277,1.0031937,1.1735779,1.0065534,1.8388263,2.0318956,1.278225,2.0506325,1.5827317,0.4279359
63,1.5707371,1.6961733,2.0545537,2.5642557,2.4698653,1.6558958,2.8094773,3.1217897,2.6103702,2.4112527
64,5.6445584,8.509503,7.0130405,5.5526075,5.9111295,6.8575463,5.17825,4.6383142,7.038452,7.015434
65,5.3707814,5.395785,5.8360524,6.013041,6.825631,7.0866895,5.8132725,6.851384,6.039493,5.9757547
