time,0,1,2,3
0,3.5445018,2.7023914,1.8348734,2.5870144
1,4.147542,3.372812,3.6734164,3.5605211
2,4.2870226,2.8489075,2.8386178,3.9190898
3,1.9170371,2.5130222,2.9086728,1.8851011
4,1.3082441,0.6787914,0.28898385,1.6366493
5,1.1184957,0.4597071,0.15338418,0.43855777
6,0.12689081,0.03604915,0.022263097,0.04117807
7,0.3324987,0.04317918,0.006087229,0.05748862
8,0.009583331,0.36297184,0.025174202,0.1128891
9,0.30756187,0.9662476,0.25964102,1.0310575
10,1.707453,1.5065147,2.5713985,1.130204
11,0.8897774,2.0298076,1.4328449,3.6289525
12,1.8781451,2.7475684,1.0711969,1.5923585
13,4.118804,2.8624253,3.2349296,4.1529202
14,2.0617633,2.9226873,2.744115,4.050241
15,3.2983127,2.5698836,2.5389884,2.7396252
16,0.9074144,2.8752801,1.2451211,1.9455808
17,1.0215703,0.9042884,0.59184957,0.5933007
18,0.09448283,0.20407532,0.17789772,0.03363047
19,0.036616907,0.34950095,0.2179392,0.014484188
20,0.1523243,0.060154777,0.33568323,0.5012375
21,0.57690376,0.4787903,0.17269532,0.14563979
22,1.6733818,0.442013,1.1848592,1.3221365
23,4.5080485,2.8970847,1.9403135,2.0741923
24,2.930675,2.1767104,3.2575748,2.207763
25,3.5913646,3.1985877,4.941392,3.1462555
26,5.465244,5.5878596,3.4074795,5.4464674
27,2.9751282,2.1804593,4.0680547,2.4837022
28,1.3090847,1.402717,0.44954348,1.9583325
29,0.575059,0.35940585,0.3382277,0.080895744
30,0.07864673,0.04624887,0.16176261,0.09825118
31,0.18748504,0.02163786,0.0150820175,0.0034309214
32,0.038201455,0.063807115,0.022097416,0.16781649
33,0.12046328,0.9257855,0.5366497,0.5681781
34,0.6689088,1.121547,2.1786084,1.2329057
35,2.1512377,1.7012303,0.9848986,1.713145
36,1.9302723,3.1999688,3.4566455,2.2952576
37,5.617015,3.14998,3.914407,3.7756574
38,6.7307963,3.5849292,3.5575337,3.571134
39,2.9781227,1.6269531,2.0462942,3.1648207
40,2.5760896,0.5739923,2.7494931,2.3912954
41,0.12809835,0.395829,0.48348373,0.644806
42,0.39140302,0.70014596,0.08726692,0.0069809356
43,0.06768564,0.1008031,0.034390636,0.5416823
44,0.073898874,0.08905195,0.050416477,0.07058298
45,0.60511947,1.1199168,0.659268,0.6672367
46,1.1068718,1.6701076,0.79411376,1.3007722
