time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.22703093,0.08839,0.41043094,0.032638427,0.24760874,0.13838293,0.23129174,0.18495625,0.1500393,0.09995819,0.37650606,0.23693782,0.28748196,0.23759185,0.03499468
1,0.30435482,2.727476,0.7053611,0.85666174,0.64438343,2.2554915,2.0930498,2.7955573,0.8305089,0.12797832,1.6044685,1.3235885,0.58692056,1.0353483,0.9206777
2,0.7204275,1.0634952,0.5066823,1.3696682,0.5807995,1.7264085,0.42313865,0.9137262,1.756604,1.9653804,1.6462573,2.712829,0.8273669,1.6986929,1.5564811
3,2.344507,2.1334965,3.9436302,3.083107,2.3744612,1.8603936,2.5798352,1.8575991,3.7682111,3.816762,3.3460526,4.1252265,1.8905098,2.9643881,3.5441847
4,7.8922253,6.4194813,6.8151727,5.307736,6.3458323,6.5601015,6.4736843,5.6091895,7.430569,7.773652,6.459687,6.084523,6.703307,5.571838,5.4705205
5,8.006291,10.365294,10.283216,7.8986034,8.722162,10.015798,9.487873,9.769578,8.291488,9.5789585,9.409568,9.432582,8.10561,10.351842,7.88047
6,10.749282,9.195295,9.657504,11.0057,9.154928,7.782893,8.074722,8.391746,10.726496,8.968062,8.761659,7.1656947,9.451858,9.195226,9.148636
7,5.0366745,4.6704893,6.094854,6.3595147,6.462857,6.706901,5.505119,5.230484,6.4529514,8.487435,6.5667677,6.908966,4.554056,6.3102794,8.21056
8,0.53918236,0.42625,0.88401955,1.1176553,0.45326626,0.40575197,0.6686488,0.22013329,0.9401503,0.39095423,2.1131985,0.098783955,1.7659745,0.20935647,0.59878594
9,0.30902916,0.52645487,0.5918305,0.9050861,0.2021842,1.0915834,0.06150121,0.7645658,0.41431078,0.15242976,0.13178706,0.7385137,0.07204841,0.66013837,0.20931219
10,0.24460448,0.38105553,0.08890796,0.36940977,0.0076925834,0.006248387,0.39856002,0.07282274,0.033976186,0.06464631,0.15568866,0.36919403,0.10556311,0.16232745,0.071782425
11,0.23112583,0.3309777,0.2523988,0.4042891,0.15804185,0.36019686,0.30265218,0.20838612,0.024124084,0.03682175,0.1561142,0.04020397,0.37870994,0.08880748,0.3860686
12,0.8501804,0.18051156,0.29593712,0.3309128,0.09839387,0.23551697,0.20918073,0.22259787,0.0779577,0.17761397,0.9912124,0.07246285,0.34393904,0.48369038,0.6685658
13,0.5730525,0.57888424,0.9738343,0.7081985,0.49045292,0.6974993,0.42991272,0.7550069,0.6278258,0.48312548,0.66478103,0.57798725,1.4471136,1.1047349,1.1015584
14,1.8767169,2.090803,1.4183396,1.447755,1.7458317,3.878517,1.9705517,1.6564543,1.2701617,1.1711742,1.3801821,1.4367033,1.2887199,2.6118894,1.8373871
15,1.8275611,2.7323012,2.2006469,3.1707435,2.4840748,3.8410273,3.0604324,1.7594602,1.4802552,2.8047674,1.8162148,3.8385859,2.7790499,4.489295,3.6143165
16,6.5859222,6.854261,6.49835,5.6829433,6.3428235,6.601108,6.291638,6.831884,6.267909,6.154722,6.9205093,5.6630116,7.2911015,6.441837,6.0077915
