time,0,1,2,3
0,5.2438097,1.7884806,2.2167873,2.8074183
1,0.6354857,1.2494724,3.296249,1.127253
2,0.40352982,0.07709523,0.3966129,1.7455221
3,0.20917977,0.18050034,0.012088097,0.17928615
4,0.08855064,0.55303395,0.013095934,0.1283567
5,0.14589319,0.15751646,0.011874546,0.010986935
6,0.23970762,0.8610344,1.197695,0.4498423
7,0.88904566,1.962626,0.91984,2.6042001
8,1.2595022,2.022306,2.965916,0.9184158
9,3.5374498,2.9932685,2.4747941,3.2746758
10,3.74275,4.7133307,2.5472195,3.0516782
11,3.3326046,3.4871104,3.106934,4.7567196
12,3.4606466,1.5716273,3.5003862,1.7565567
13,0.7040822,1.1211758,1.7267799,1.8082099
14,1.2621783,0.9476508,0.36535808,0.98372036
15,0.07955852,0.034058873,0.19161297,0.3039296
16,0.0967323,0.037591066,0.2660821,0.05926085
17,0.17459416,0.2181085,0.05577721,0.22074512
18,0.20887709,1.9035863,1.4923586,1.59687
19,2.590179,1.5007724,2.237131,1.8832618
20,1.0482875,2.977758,1.2484092,2.7493515
21,1.8976936,4.694708,3.5929976,2.3018947
22,4.241113,4.8003016,2.8280654,4.684345
23,3.6398418,5.1860013,3.5061955,3.3579774
24,4.0207195,1.3950957,2.2921813,3.513639
25,1.6676806,1.8462014,0.32950404,0.40039045
26,0.184551,0.059131853,0.1783587,0.10729857
27,0.031033574,0.07573858,0.043058835,0.09991792
28,0.0355276,0.002391209,0.020337649,0.10206839
29,0.1679211,0.003959347,0.010694291,0.0482604
30,0.40023407,1.1088793,0.37274355,0.95307314
31,1.5644346,0.32106626,1.4023353,1.3799896
32,2.864845,2.2035892,0.83870345,3.218908
33,3.4320803,2.3283944,4.764721,2.5749586
34,4.65492,4.0465813,3.6046524,3.5197678
35,4.6934996,4.4985332,3.2799916,6.518232
36,3.152579,2.5532444,2.5242019,3.0315259
37,0.6079769,2.4931448,2.0458665,0.5884916
38,0.8293483,0.35171965,0.32298315,0.109619245
39,0.11626205,0.11011592,0.07635068,0.4145676
40,0.64618915,0.179615,0.23031084,0.038559064
41,0.097762786,0.0648435,0.04361474,0.14418663
42,1.7825974,1.594279,0.92666775,0.2798924
43,1.7801788,0.96856886,1.1480235,0.8859242
44,2.505615,1.5895902,1.4584641,3.4123266
45,4.576065,2.2310758,1.621156,2.0513492
46,8.625543,5.4761305,1.8406099,2.7412896
47,3.607799,2.5128074,3.7007527,3.370003
48,3.8837469,3.1583774,3.4402843,2.8445477
49,0.5112785,1.6519959,1.1137938,0.86037767
50,0.09833446,0.7160459,0.13526967,0.21154462
51,0.12774256,0.07425867,0.079042464,0.03812292
52,0.0058072987,0.06499018,0.050786175,0.06826039
53,0.038815863,0.008858801,0.1436898,0.37358147
54,0.4232875,0.09323931,0.97067034,0.062364854
55,1.3073962,1.0745798,0.69047093,1.9297397
56,2.5102336,2.9530656,1.3559957,2.6223843
57,3.0534174,1.3936934,1.6313415,1.9744372
58,3.9368134,3.7887473,4.63401,3.8762307
59,3.755217,3.301776,2.8615294,2.2467756
60,3.0466979,2.6254783,2.6542437,2.5991757
61,0.7165976,0.79780316,1.7300919,1.1693221
62,0.21765639,0.5980874,0.53349054,0.05233464
63,0.16785471,0.99022394,0.20042442,0.08057903
64,0.23235004,0.013910086,0.008893226,0.109022394
65,0.43928343,0.079941586,0.11160803,0.17251316
66,0.3145828,0.18203951,0.36812013,0.45824257
67,0.47020376,0.62507,1.5247544,2.615396
68,0.7724629,1.5381052,2.3541982,2.2260633
69,3.5480144,4.8921924,3.239749,3.7460973
70,3.4819143,5.273832,3.60652,3.7918484
71,4.448417,3.3804014,3.8612113,5.06003
72,2.557377,1.9043151,3.6720874,2.4176192
73,0.33290112,0.7811368,1.5260577,0.960204
74,0.42703313,0.44182613,0.12244208,0.2883822
75,0.040140826,0.025983356,0.120354004,0.019908665
76,0.033562418,0.05221446,0.013431827,0.005611346
77,0.07078511,0.029636417,0.0367477,0.021588959
78,0.25236848,0.5070006,0.59232336,1.2906988
79,1.713716,1.1142942,1.0604724,0.51699823
80,1.2508843,1.638764,0.46163115,2.3110557
81,4.077218,3.6217005,4.9705987,2.9795098
82,3.5620546,4.653681,4.3418,5.5463314
83,4.7415547,5.447874,4.5720162,5.314927
84,2.7465646,2.0201952,2.82122,1.9550353
85,0.70725954,0.9483975,2.2975004,2.3623595
86,0.27111375,0.33759224,0.044186804,0.6410483
87,0.010654066,0.003781459,0.49598277,0.020251306
88,0.025202539,0.22250758,0.13471092,0.046548326
89,0.020113919,0.25493354,0.12463163,0.008328532
90,0.12332488,0.34502664,0.3659447,0.25094992
91,1.817854,0.9460078,1.4674122,0.086344205
92,1.0562328,1.1344813,2.4257202,2.5665119
93,4.8301415,3.2146513,3.9084775,4.3905077
94,2.556441,3.9354067,3.138097,6.350863
95,3.7707343,4.6831074,2.6997766,3.5735807
96,2.7818491,1.4783115,3.1756516,1.7444631
97,1.4110564,0.16817428,1.1542039,1.6599151
98,0.23779729,0.2961466,0.49738848,0.044791497
99,0.21044137,0.00505347,0.63997036,0.084438376
100,0.004226164,0.055765904,0.26646546,0.017191987
101,0.107143655,0.07713724,0.6557222,0.031189859
102,0.30247548,0.61659694,0.52506596,1.1032891
103,1.3798013,1.2763139,0.97336316,1.0315436
104,1.5987585,3.9390864,3.806549,3.6326823
105,2.0354128,3.9842792,2.7381566,3.310567
106,3.7250116,3.2506833,4.0811644,3.2850652
107,3.215739,4.5954766,2.0819552,3.1028278
108,2.8595848,1.6587704,2.2565825,3.6788173
109,0.7222382,1.809978,0.69100976,2.0337296
110,0.07145213,0.05850035,0.14587756,0.25072053
111,0.0026676746,0.049344726,0.017130582,0.0879406
112,0.029680206,0.24402648,0.003937738,0.17755233
113,0.0019877234,0.17281389,0.03840023,0.016843079
114,0.34355152,0.37914082,0.20335905,0.32684094
115,0.25944525,0.047957268,0.64079607,0.9634132
116,1.6008239,1.3935714,2.6395497,2.3081017
117,2.2296185,2.1749299,1.3135339,2.1492755
118,4.654438,1.7741374,2.8509686,3.8956587
119,2.1246982,2.864686,3.8144345,3.5221674
120,2.0018785,2.8131292,3.0101912,2.0994787
121,0.830343,1.6371328,0.61607903,0.9547068
122,0.28485274,0.2578635,0.4030235,0.37651914
123,0.06887774,0.22407244,0.008701321,0.011289154
124,0.090634495,0.07102684,0.058971882,0.027986696
125,0.018654587,0.057179775,0.08166795,0.07835014
126,0.33138105,0.6834638,0.3666091,0.7050829
127,0.89808947,0.31975445,1.294303,0.5945983
128,0.86520195,3.1025386,3.3302293,1.3405045
129,1.3994858,2.3937728,2.486277,1.8238825
130,5.1005144,5.3073525,2.3657067,5.443681
131,5.3521357,5.0623913,2.3855627,5.640203
132,2.000847,2.4771297,1.8955916,2.1218855
133,0.2691925,1.8651689,1.0319642,1.1575584
134,0.58483654,0.19831203,0.711609,0.33278072
135,0.30979007,0.025034321,0.07632489,0.013026321
136,0.13771209,0.042517543,0.113701746,0.16981077
137,0.1419367,0.08470476,0.1342143,0.24697255
138,0.47416878,0.62098914,0.27009997,0.059129618
139,1.2444723,0.90127194,2.9743693,1.0888581
140,3.0152636,1.3461856,2.8226156,1.9863484
141,1.4750285,1.9141195,5.064683,2.600498
142,4.11073,4.8040333,4.025425,5.8126493
143,2.6714635,5.238831,1.5701823,5.8417063
144,3.1329484,3.8236136,2.4150577,3.1681666
