time,0,1,2,3
0,2.311611,2.9253244,2.757025,2.123774
1,3.689536,1.9275792,2.8365285,2.522115
2,3.2083585,1.6359833,4.817454,3.1525424
3,3.7683253,3.8490155,4.405617,5.832718
4,3.198675,3.1645315,2.8151588,2.4427967
5,1.9317924,1.6296551,1.0413852,1.3126123
6,0.3198683,0.06630246,0.24916428,0.04057873
7,0.2633119,0.47124484,0.11238463,0.32840028
8,0.36981198,0.016697677,0.09009574,0.018607086
9,0.0037837503,0.101348355,0.32807642,0.018673176
10,0.2252824,2.1064563,0.40765223,0.79330266
11,2.2003312,2.38857,0.9884107,1.6485481
12,3.1625247,2.158123,3.8070168,2.300068
13,2.498187,3.0456088,3.3092651,4.724391
14,2.356028,6.2761564,4.5053997,4.006721
15,4.0723124,3.2708828,5.065519,4.520054
16,2.4857595,2.4456842,2.5927746,2.7621725
17,0.63594145,1.99926,1.7094353,2.2554777
18,0.23937091,0.58497703,0.5975924,0.07449139
19,0.56268126,0.11090819,0.1437021,0.67484415
20,0.030881623,0.29152223,0.1268413,0.21135603
21,0.21259874,0.054840602,0.52403826,0.43749526
22,1.2618985,0.33510473,1.0103362,0.8043012
23,2.4593687,1.8509263,1.5337524,2.2760706
24,1.4549197,1.272772,2.650707,2.7926126
25,4.8871903,2.655308,2.4491568,2.115378
26,9.3000965,7.9681573,4.603923,4.24654
27,3.6760511,2.950546,4.5189996,7.491017
28,1.6366881,1.5270251,3.2269347,3.8557456
29,0.5360199,0.7992967,0.67834824,0.48084065
30,0.32259303,0.18313026,0.59291816,0.8113071
31,0.10331602,0.14402778,0.09865063,0.022194492
32,0.005887336,0.2210974,0.017818807,0.06744683
33,0.049464557,0.02693965,0.02240779,0.5425812
34,0.6278233,0.77494705,0.21147515,0.10528349
35,1.5460962,0.48885038,1.4873414,2.3207254
36,1.0716197,1.5943983,3.9656343,1.9175671
37,2.5716035,3.863492,2.1300383,1.7594411
38,3.0573819,2.9980557,2.788035,4.3887844
39,2.7827697,4.151491,5.282682,5.262403
40,2.7910314,2.2497404,4.5170054,2.24818
41,0.6137121,1.2145048,1.2846818,1.3295567
42,0.21852626,0.3977905,0.9805073,0.3638525
43,0.37834102,0.048406634,0.5391904,0.09734106
44,0.011868585,0.051842615,0.01673763,0.1855647
45,0.019464212,0.7868592,0.23079008,0.15395196
46,0.8923782,0.334977,0.124277025,1.0141656
47,1.1134155,1.6855997,0.96221745,0.6217276
48,1.5498161,3.363349,1.835171,2.4269254
49,2.0359595,4.220587,1.5352446,2.8194048
50,2.4089365,4.093353,2.4923606,2.7826848
51,2.016602,2.5290108,4.425217,4.706976
52,2.6697474,1.5583441,2.6794786,1.1894008
53,1.2290314,1.5261803,1.554518,1.3865453
54,0.47132352,0.108582646,0.6311794,0.15009315
55,0.13403535,0.043186877,0.58469427,0.08250619
56,0.115300104,0.106981084,0.0840811,0.6328847
57,0.41504395,0.42123312,0.046633285,0.026850374
58,0.7525583,0.6127021,1.2409947,0.023165612
59,2.3544939,0.80282843,1.0383157,0.9489353
60,2.828861,1.0997126,1.9323934,2.403785
61,0.7243328,3.9616776,1.3304716,4.0476756
62,3.1354723,4.1578107,6.4553385,5.2773643
63,3.0050197,2.0827882,3.217734,3.881225
64,1.9784666,1.7397355,2.1355536,3.328908
65,3.277913,0.5672652,1.0120833,1.2343107
66,0.33732656,0.29357025,0.9319372,0.17882356
67,0.42144057,0.07990436,0.043059967,0.32675785
68,0.08737218,0.004071481,0.06574968,0.35185573
69,0.042149898,0.13477156,0.19573668,0.46486938
70,0.9523175,1.5041935,0.80230993,1.4987414
71,1.0066363,0.7365878,2.3405833,1.0965018
72,2.5850408,1.8569888,0.79413277,2.3629043
73,1.9275842,2.4336114,1.919773,2.144389
74,4.599086,7.269199,6.661072,3.5594952
75,4.7004414,3.5181632,3.6637971,5.2451715
76,3.5904644,3.093067,3.1898665,2.5822437
77,0.36266512,0.14743418,1.2015564,0.6336337
78,0.050481357,0.22696392,0.527659,0.27394134
79,0.08978481,0.21957725,0.08667271,0.079080135
80,0.086133175,0.010579403,0.034730293,0.074916236
81,0.2635376,0.021301696,0.74929386,0.06581921
82,0.10983601,1.1710354,0.084261775,0.2328942
83,3.6370502,1.5337586,1.1936222,1.6326051
84,2.5869675,1.6906412,1.3005006,1.9359788
85,2.414793,2.9916728,3.266406,1.7863845
86,3.677502,4.077869,3.533546,6.5709453
87,5.126386,2.9606733,3.3117762,4.4941993
88,2.9011736,3.1084554,2.28128,3.4563658
89,0.7297994,0.734455,0.44388467,0.43245664
90,0.17394224,0.30545738,0.33938047,0.652599
91,0.04073234,0.12905028,0.03459782,0.0038568985
92,0.019866168,0.005338486,0.01995283,0.0194891
93,0.018253548,0.008578195,0.090860836,0.040156305
94,0.4525789,0.44674253,0.9077497,0.2068148
95,0.9526867,2.3523962,2.8810096,1.2575864
96,2.2080438,2.14975,2.801896,1.7936965
97,1.75955,2.8466291,2.9604738,3.563727
98,3.9920454,4.26812,4.454692,2.6476598
99,4.7788115,2.9279127,4.5406027,5.8479085
100,1.7402017,2.4638982,1.8993096,2.9568303
101,1.4373151,1.8593166,1.1742661,2.303004
102,1.10435,2.0735056,0.8906247,1.6355883
103,0.016008683,0.009255587,0.0065774685,0.12739669
104,0.0024604523,0.22881858,0.10606709,0.1159194
105,0.06850495,0.033380024,0.18617126,0.23541124
106,0.5426428,0.3059758,0.5630365,0.66701245
107,1.6205665,1.1112702,1.8629602,0.9789047
108,1.9489688,2.102875,4.211068,2.525353
109,2.3382,2.5384524,2.81056,3.4049852
110,4.350552,4.3122706,4.156716,2.33367
111,4.5751224,4.15209,5.350524,3.5072234
112,2.4735827,4.0749307,2.6400416,2.791074
113,1.206285,1.4234252,1.9176711,0.34379944
114,0.101225495,1.0709933,0.04216616,0.2992355
115,0.09433435,0.49078867,0.07697144,0.043711774
116,0.10435215,0.016548427,0.028726647,0.21592642
117,0.06309236,0.08333222,0.008580395,0.03728405
118,0.92422426,0.24899578,0.20981786,0.21385941
