,0
0,0.0015493996
1,0.009011236
2,0.04753662
3,0.038858972
4,0.14176404
5,0.23709959
6,0.36638632
7,0.3471864
8,0.1981054
9,0.125611
10,0.013736536
11,0.00887563
12,0.020041456
13,0.006813251
14,0.041873693
15,0.042361103
16,0.057618756
17,0.21223286
18,0.31971833
19,0.33054516
20,0.19221932
21,0.06394576
22,0.014393259
23,0.022510268
24,0.0061119725
25,0.029616429
26,0.03549865
27,0.036322743
28,0.043068193
29,0.24193144
30,0.38586208
31,0.34647697
32,0.26468736
33,0.03677257
34,0.019138707
35,0.010129408
36,0.009611779
37,0.008640062
38,0.021840762
39,0.064991474
40,0.07300387
41,0.23324563
42,0.34968618
43,0.3289086
44,0.20453855
45,0.07978729
46,0.02544169
47,0.007857807
48,0.010160791
49,0.0040174355
50,0.0777071
51,0.045332823
52,0.10958234
53,0.20840761
54,0.34943396
55,0.34688222
56,0.2184072
57,0.081674546
58,0.017836886
59,0.0015672221
60,0.0033812476
61,0.013113135
62,0.048596665
63,0.04117668
64,0.14510189
65,0.21795662
66,0.40369433
67,0.34134483
68,0.25874275
69,0.11392019
70,0.014516855
71,0.030294074
72,0.0067404113
73,0.022294074
74,0.03498334
75,0.075989544
76,0.11472687
77,0.2792046
78,0.34204498
79,0.36955753
80,0.22798645
81,0.070471145
82,0.012084465
83,0.0012138706
84,0.008659435
85,0.0019035258
86,0.00481945
87,0.09074429
88,0.17989966
89,0.2886959
90,0.3352964
91,0.33495042
92,0.19353002
93,0.07746339
94,0.037053857
95,0.0043672994
96,0.009407982
97,0.010189462
98,0.02549787
99,0.053987607
100,0.04592484
101,0.16957188
102,0.31630456
103,0.35175127
104,0.16955522
105,0.10667378
106,0.006831073
107,0.01633088
108,0.010526152
109,0.019620689
110,0.023514919
111,0.049609065
112,0.1576207
113,0.21321853
114,0.34798723
115,0.33157578
116,0.22475554
117,0.07372802
118,0.02275746
119,0.0076861684
120,0.0095354505
121,0.0028202247
122,0.028176675
123,0.042908564
124,0.13104612
125,0.19047347
126,0.28138903
127,0.3606517
128,0.24630687
129,0.04744479
130,0.05414026
131,0.007799303
132,0.008814026
133,0.0048302985
134,0.05447772
135,0.07810965
136,0.10303721
137,0.1767904
138,0.39078423
139,0.36530808
140,0.2228303
141,0.050874084
142,0.034297172
143,0.010166603
144,0.0067531965
145,0.0035536618
146,0.018337468
147,0.037559863
148,0.1548954
149,0.17879233
150,0.32279816
151,0.3684444
152,0.2132193
153,0.113700114
154,0.026424255
155,0.0026110034
156,0.0036919804
157,0.011168927
158,0.05085936
159,0.10420962
160,0.20175165
161,0.18078497
162,0.33459204
163,0.38022628
164,0.2713588
165,0.13289154
166,0.0151046105
167,0.0116102295
168,0.002170864
169,0.004867493
170,0.033161566
171,0.02852034
172,0.1572003
173,0.17638241
174,0.23797095
175,0.33785668
176,0.22593994
177,0.077240996
178,0.026411856
179,0.020743124
180,0.010010074
181,0.01126579
182,0.0325587
183,0.048375823
184,0.21633478
185,0.23079504
186,0.36899114
187,0.35528168
188,0.24463426
189,0.10046687
190,0.013127859
191,0.003391709
192,0.0021983727
193,0.034333207
194,0.04111081
195,0.07238009
196,0.19955522
197,0.19934405
198,0.39209184
199,0.40194926
200,0.27370596
201,0.086117014
202,0.010068966
203,0.008871756
204,0.009519179
205,0.030178616
206,0.021175902
207,0.04103991
208,0.13013019
209,0.25864124
210,0.340637
211,0.36242932
212,0.23456258
213,0.10648548
214,0.046373114
215,0.0066334754
216,0.0011108099
217,0.01881519
218,0.03955056
219,0.087288655
220,0.11329485
221,0.34295467
222,0.28006703
223,0.32642117
224,0.30293646
225,0.10090004
226,0.054192953
227,0.021799304
228,0.0034839213
229,0.010703215
230,0.022846183
231,0.06623402
232,0.14143394
233,0.24619141
234,0.342117
235,0.44366953
236,0.27597094
237,0.07787447
238,0.0120058125
239,0.004429291
240,0.0010588919
241,0.003933359
242,0.0123138325
243,0.06807982
244,0.12867261
245,0.16561177
246,0.34891635
247,0.3011151
248,0.22637159
