time,0,1,2,3,4,5,6,7,8,9
0,0.10680267,0.13700618,0.15014103,0.104938015,0.17402075,0.0773979,0.14429894,0.096740246,0.15666516,0.1341858
1,0.132355,0.079132445,0.09086497,0.23351595,0.29793993,0.09241368,0.110242456,0.21192543,0.103713,0.18801172
2,1.5718615,1.0387877,2.5062423,2.9688199,1.0010531,3.5440793,2.3873067,1.1168367,1.8131582,1.3109328
3,2.3901854,4.5343122,3.3556852,4.333668,5.434548,2.1633823,2.7643483,2.8024306,3.704381,3.6425874
4,5.258537,4.1501765,4.663945,4.11942,3.6069822,3.8372128,9.145929,7.777708,9.732474,3.9732687
5,13.032027,13.83466,9.101004,12.406431,12.410746,9.821481,14.582068,8.823678,13.636324,14.627333
6,7.890673,10.423848,7.3158298,6.673896,5.3490047,5.5214415,8.31949,8.566694,7.955955,8.04114
7,11.511526,10.58221,14.657145,13.221267,11.290541,16.2189,14.212238,10.284807,11.449143,13.048227
8,12.68033,7.610511,9.932446,8.977505,11.301067,8.530295,10.237303,8.195619,9.777839,10.984918
9,4.427132,2.128458,3.1285188,2.1571496,2.0933821,2.1803432,2.2831328,2.6370215,2.880443,2.3558187
10,0.44153228,0.45061186,0.2790753,0.34486967,0.54796517,0.6315117,0.47839862,0.69226354,0.31365278,0.23458584
11,0.09821844,0.12178978,0.12923779,0.14610454,0.0898002,0.378612,0.3421234,0.21706136,0.12984525,0.13967095
12,0.8505176,0.6035983,0.64036936,0.69488454,0.7094954,0.60794955,0.64118314,0.7627875,0.45555475,0.71113497
13,0.05704105,0.1322128,0.13015455,0.07622899,0.2756358,0.10326856,0.15881099,0.34917447,0.32345662,0.1934871
14,2.1860726,2.0424726,2.8492205,1.6902311,0.6838552,2.3393285,0.69761664,0.58408743,1.5771232,2.0673432
15,3.969439,4.357404,4.028922,4.8846555,3.7725053,7.243561,2.510342,4.5236053,3.0550733,8.283167
16,4.8781366,6.1453648,3.917548,5.9771066,4.5580745,6.207327,4.473796,6.860818,6.6191077,6.627966
17,8.991778,10.460327,8.370089,8.071533,7.7867355,7.1310825,7.288215,12.481196,5.424947,9.013944
18,9.210887,5.8465505,8.324465,8.149755,8.36854,7.5403514,5.108544,6.6808424,7.2345552,8.306644
19,15.596965,11.520614,10.327437,13.98176,11.453579,9.170697,11.934028,8.379107,11.563414,8.723242
20,7.5629077,8.952274,7.0823927,10.061707,9.618393,10.472121,6.902305,8.353707,6.812454,8.493607
21,2.2002432,4.6894045,2.976252,3.9383311,4.2923117,4.9144726,4.407887,2.5899024,4.2559366,4.3646874
22,0.5133629,1.3161988,1.2021569,0.66872305,1.2278359,0.8816308,0.78159875,0.96912086,0.53306687,1.0013552
