time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4.368306,3.9202838,6.79597,4.6150136,6.309248,7.65775,4.8983088,5.7036533,5.257247,6.395072,7.6774774,5.319469,5.03025,4.93213,6.1089935
1,9.0613,8.7430315,9.518591,8.484556,8.475358,8.949607,9.463207,8.462922,7.5130167,8.130871,9.556518,7.543739,8.7204685,8.158533,8.741089
2,9.839606,10.543947,10.305482,10.148408,9.338216,10.185937,8.2324295,9.528359,10.376568,8.6833105,9.914713,9.234496,10.643092,12.02249,10.320704
3,5.539297,8.100211,4.8527575,4.780235,3.7607164,4.557585,4.2273817,5.594079,5.3567266,5.397427,4.032899,6.05172,6.358416,5.9495783,4.7290354
4,0.55965936,1.308962,0.93051505,0.40689257,0.050250154,1.9216621,0.8408145,3.2972898,0.46756342,0.7990115,0.112047024,1.1721549,0.75739944,1.2551593,1.2262436
5,0.4539469,0.06866329,1.0972921,0.2675865,0.041723754,0.45483857,0.2233449,1.077236,0.5714455,0.18317875,0.40993494,0.8592233,0.008173828,1.4924508,0.5081447
6,0.09439318,0.0756563,0.28855124,0.3191682,0.3934971,0.20377022,1.1694459,0.17820285,0.27711898,0.010937987,0.29334563,0.15941367,0.23507856,0.1849458,0.012810335
7,0.25243595,0.031802133,0.0091738645,0.29284275,0.06788966,0.44744876,0.33636716,0.19812241,0.14923841,0.02338346,0.092737526,0.07075458,0.08476758,0.061824027,0.056921385
8,0.2435742,0.5075194,0.5139151,0.5928183,0.3291609,0.33741114,0.08373903,0.31304926,0.15474759,0.11134091,0.22398224,0.13679393,0.014409374,0.2580333,0.15883677
9,0.63370144,0.7056436,0.9653052,0.16140619,0.38752636,1.1916589,1.0909338,0.95433867,0.8565915,1.6348126,0.91052806,2.8522508,0.40043032,0.41000918,0.74915
10,2.2801745,1.499614,1.1249621,2.5450575,0.85030043,1.9182919,1.9326651,1.4295903,1.612016,2.5435753,0.71400833,0.9721712,0.60497695,0.91384447,1.1214883
11,2.6889524,1.3215913,2.1359422,3.5156603,2.2637663,2.18456,2.5236285,3.149139,4.150709,3.2839572,6.7946033,3.0266612,3.2774699,3.7174633,3.2860653
12,7.974885,6.4973226,5.4728556,7.0144887,5.812179,5.183901,5.331901,4.5345316,5.3282003,4.643365,6.334243,6.1517606,5.452807,7.15046,4.9641957
13,9.236847,10.245931,11.096329,8.895515,8.703754,9.383125,9.303656,10.067388,6.9485545,8.236301,8.39203,7.925786,8.320591,7.9969797,9.442428
14,7.9452267,9.058666,11.94009,9.346321,8.958032,9.28427,9.610082,8.547507,8.668034,9.987634,12.334695,9.48076,9.548462,10.158751,7.8530073
15,4.795752,7.6519313,5.3072433,4.9928765,5.0285754,7.8456063,4.007615,4.5836015,4.756839,4.7590322,6.4446306,6.643105,5.4798284,6.457062,5.7289557
16,0.29328737,0.03321978,0.3894456,0.9553553,0.9313187,0.44879648,2.0141487,0.56243485,0.06871248,0.26821354,1.1389583,1.249615,0.5629389,0.6285045,1.2261462
17,0.0066954065,0.08711894,3.3928075,0.69402033,0.015561711,0.4014831,0.5896085,0.25368848,0.3651506,0.14834985,0.64309126,1.1776423,3.621253,0.7911113,1.8162885
18,0.78371006,0.22497779,0.040533368,0.64541847,0.1510141,0.52736604,0.596891,0.23995914,0.02517178,0.06688531,0.2311715,1.1598326,0.12702486,0.38346645,0.8768387
19,0.03145899,0.09043692,0.25829148,0.14131387,0.32723296,0.18208988,0.20323148,0.08694119,0.1582775,0.095422946,0.076908685,0.26931807,1.0032786,0.1721198,0.03494915
20,0.16909854,0.36541197,0.07453166,0.018236045,0.0923953,0.35784692,0.28376862,0.6513214,0.16204493,0.1772001,0.45797926,0.26670676,0.024674455,0.6169764,0.33349913
21,0.37098294,0.6302993,1.9366546,0.7121502,0.67261034,0.9969076,0.5904865,0.4550746,0.9953059,0.6396545,0.7717277,0.93993354,0.7001842,0.72135264,0.68400675
22,2.2791595,1.1151435,0.6360309,2.1731122,0.8253146,2.4913177,2.3668022,1.3759689,1.6177248,1.0586143,1.7638929,2.34364,2.3164287,1.0860286,2.517807
23,1.122433,2.0759757,3.1443594,3.9939046,2.118881,5.5717473,2.993765,2.589588,3.1895337,2.143521,2.1611197,1.0925987,5.0459857,1.9631261,1.7903898
24,5.9629283,5.6364865,5.059735,5.1875763,4.6138234,6.700506,5.7482476,6.010417,6.371348,5.99826,4.2621136,3.536752,7.33567,5.569934,5.2830787
25,8.358717,11.224344,8.469053,10.980267,10.437571,10.520679,10.773142,8.193839,8.608912,7.1750464,8.219274,8.71633,8.63244,8.604279,8.214091
26,9.271266,10.183619,9.726614,7.8979206,9.404446,8.277318,9.684195,9.672014,10.696069,9.44259,10.229818,10.192082,7.8103256,9.482903,10.856589
27,7.8850484,5.0288754,5.9160304,6.733925,8.602697,5.88799,3.5403447,7.433426,5.09623,4.370214,6.9504642,6.9221616,6.233243,6.5050516,6.687362
28,1.3426893,0.5383326,2.7252269,0.6631455,2.1785853,0.47812402,0.97004277,0.81595093,0.38574404,0.40606514,1.1127578,0.71908736,0.17882821,1.2939149,0.5656176
29,1.6088469,0.7322495,0.24937597,0.28915918,0.691184,0.0984348,1.4194336,1.0281371,0.18288527,0.04898473,1.6439083,0.75436634,0.9599526,0.8950084,0.21566343
30,1.0247576,0.003886296,0.380977,0.036301915,0.21575238,0.049148157,0.01422265,0.3146958,0.26663622,0.2870863,0.054853875,0.10700341,0.032021843,0.109362766,0.05075986
31,0.06385906,0.055354733,0.26513007,0.17743632,0.027899176,0.009375163,0.01102986,0.60872316,0.025104893,0.15072273,0.18325424,0.05883741,0.15183471,0.14048299,0.14433719
32,0.021161905,0.059618596,0.0033186711,0.048677877,0.28286183,0.28505212,0.5162274,0.56013036,0.11339553,0.75910187,0.5005313,0.78066915,0.016367696,0.66555876,0.26054183
33,0.26140416,0.15562542,0.072079286,0.844551,0.95771384,0.49641398,0.86435056,0.69280905,0.2389957,1.3949097,0.65738046,0.69867355,0.8436886,1.0549769,0.98828596
34,1.9418991,1.0458354,2.0254636,2.0466661,0.51114106,2.5802946,2.099604,2.0925245,2.1171114,2.3062785,1.5514762,2.739995,1.1697489,3.2763007,2.2334833
35,2.982044,2.463792,3.1776974,3.8037174,3.2504802,1.9995874,3.5452483,2.900722,2.1121888,2.8717825,2.3067324,5.176841,3.7379599,3.0093906,4.8376107
36,3.826024,6.7346606,8.029095,7.2516294,6.797603,6.2028127,6.435034,8.12127,6.103057,6.8014517,7.803131,10.083089,5.590467,7.5014696,6.001466
37,9.00407,8.186576,9.184803,9.505686,10.365221,8.593486,10.142478,11.312906,8.098333,9.38424,10.542455,9.608928,9.168394,9.911691,9.145864
38,8.629463,7.0818944,11.71089,8.83946,9.874727,10.17926,8.970313,10.556075,9.462861,8.91585,10.302706,9.672231,10.744366,8.724709,10.006241
39,7.6740665,3.9030204,4.665298,6.6933436,4.764732,6.395841,5.190094,8.046001,4.0068097,6.6332006,6.9741635,6.5787706,7.0932913,4.9164157,5.5061855
40,3.9419234,0.20310554,1.8148232,0.54924583,0.4375648,0.4123014,1.8483441,0.645894,2.4461744,1.4286824,0.47925392,0.83565843,0.38420486,1.4610264,0.9832567
41,0.91850364,0.3072315,2.2667184,0.0043538143,0.9169117,0.66324866,0.6162837,0.6419945,2.737829,0.06667172,0.12998182,0.47843328,0.1317989,0.42322534,0.42927366
42,0.05358637,0.10383736,0.26188833,0.3944596,0.44757497,0.15171911,0.52829283,0.080935985,0.079608284,0.76271147,0.09717372,0.07466769,0.11692377,1.0120561,0.5395524
43,0.18968377,0.19579874,0.013981892,0.18010554,0.22975925,0.26101813,0.17981617,0.28713718,0.16778721,0.11285576,0.017045744,0.15464903,0.2563735,0.27619448,0.036725752
44,0.34597367,0.62763727,0.44897458,0.42785218,1.1287808,0.19823718,0.39035013,0.27800316,0.05772317,0.17042556,0.781868,0.023547696,0.009739126,0.42224562,0.16312337
45,0.64044803,0.8088618,0.05299693,0.4917825,0.4952072,1.2020811,0.742842,0.22293307,0.89460593,2.9201608,0.9242249,1.1444066,0.73876613,0.873936,0.6182413
46,1.4407855,1.8722428,2.0710704,2.0981176,1.3608552,2.1974597,1.194044,1.7900437,3.240124,2.6644375,1.3036093,1.6324766,1.9430465,1.184925,3.4918306
47,1.6805083,2.653565,2.0197184,2.3300807,3.8256378,5.9414296,4.7563972,2.2459085,2.0637596,4.4426594,3.4713774,2.1184895,4.5273175,4.1814904,2.154167
48,5.983056,7.618945,8.124612,6.9503574,6.3115387,4.9803185,5.5512643,4.201813,5.692857,6.6631174,5.209174,6.9562764,6.41982,5.840777,4.924525
49,8.052865,7.2510123,8.5286045,10.090738,8.112625,10.234414,9.218605,9.030845,9.989216,9.297389,8.576835,10.892332,8.905153,7.624604,8.770094
50,9.279681,9.026164,11.182497,8.940268,10.302821,7.8716207,9.831053,9.440861,9.098331,10.853965,8.679975,9.130873,8.840372,9.3806715,10.834019
51,4.2700644,8.514976,5.4822893,5.5607076,4.3761754,6.007928,4.3186026,6.051386,4.416772,6.2287292,6.60736,3.9987998,9.237545,7.0569353,5.3622065
52,3.02884,0.057032697,0.72222555,0.33509812,0.46926814,0.1321153,0.7241052,1.5317152,0.32950947,1.1712768,0.4372412,0.57513434,0.7459466,0.25540477,0.5565664
53,0.7375609,0.022863505,0.51615465,0.0024255705,0.25068095,0.110339515,0.0049743922,0.10835797,0.44108486,0.51941437,0.23269819,0.5030009,0.16023284,1.1306272,0.014686745
54,0.023893896,0.30738875,0.20849028,0.1037712,0.025442306,0.023042222,0.06300775,0.038316146,0.06356017,0.01786093,0.008933729,0.008981029,0.11146249,0.069624014,0.03826449
55,0.019631365,0.034674644,0.16245851,0.030467708,0.123540044,0.07558351,0.11794044,0.0771718,0.06573771,0.8513795,0.005986369,0.020990627,0.15194772,0.30147,0.113049105
56,0.56645596,0.011482531,0.8773488,0.08636388,0.2547711,0.085066445,0.43800524,0.29830953,0.015972594,0.09450186,0.0042897714,0.1984539,0.29957822,0.20300063,0.18825385
57,0.080526866,0.24406807,0.1905535,0.807138,1.0396281,0.45155093,0.81515896,0.96467847,0.3868721,1.0836828,0.37830132,0.38130033,0.5123036,1.7537117,0.44270164
58,1.3504727,2.6656442,1.926845,1.298387,3.2167768,0.9957702,1.5408962,3.6478982,2.0147486,0.7669483,1.42961,0.5028133,2.1115775,1.4436144,2.848512
59,3.469757,2.4192734,1.9762695,1.8949949,1.2877736,5.2287197,1.4508922,6.05601,3.1262195,3.2630627,2.2794085,3.382751,1.9323481,4.262649,2.4151254
60,6.0390315,5.355275,7.2893076,6.101868,6.4477644,7.842997,6.056406,7.6739798,6.1376843,5.8540087,7.2909017,6.334833,5.867332,6.8875194,6.1582794
61,9.56614,11.298725,10.563237,12.877348,9.820267,10.932627,9.932366,8.967825,9.19185,9.649714,9.540124,7.59929,10.029923,7.061243,9.186759
62,8.247944,6.1707683,7.623615,10.576206,10.018879,9.486597,9.231725,7.8193736,9.427719,9.582036,8.989267,9.555617,9.803748,8.220602,10.201394
63,4.7456822,5.5310526,6.5094886,5.362043,6.5666504,7.4560547,5.3243036,5.8848047,5.211968,6.3032966,4.10189,7.7241445,7.1730456,4.334744,5.166174
64,0.95041525,1.0834476,0.11342711,0.962803,1.3553245,0.18571249,2.9027133,0.9666703,0.23035766,0.05648512,0.8242843,1.1039994,1.7717675,0.05334256,2.0466993
65,0.017996915,0.31192833,0.42160162,0.34431008,0.29635745,1.2537525,2.005281,0.4932315,1.1556643,0.20044595,0.40448996,0.48402452,0.86884254,0.13833973,0.18930787
66,0.080369405,1.2865964,0.48115727,0.030047415,0.2550079,0.2208252,0.45465392,0.01741122,0.24697575,0.8976277,0.08655499,0.115578875,0.6442305,0.036998563,0.2000363
67,0.1769604,0.13937849,0.32281035,0.20051135,0.015388125,0.28597385,0.11495897,0.23224398,0.25178215,0.22965299,0.4886956,0.28072187,0.60205996,0.0116896015,0.19220053
68,0.1359556,0.29093808,0.11272395,0.17949328,0.24012868,0.53395665,0.568514,0.91773134,0.49612433,0.3839754,0.0014190027,0.12614423,0.16626927,0.36656812,0.6924836
69,0.39915466,0.83441424,1.7080976,1.2246131,0.98188585,1.358237,1.0265168,1.0227042,0.3594565,1.2756002,0.6737747,0.32606503,1.3662454,1.2058171,0.2269848
70,1.1960651,1.2362952,0.79566586,0.12569268,1.435237,0.70186245,1.904125,0.743206,2.7022932,0.38008755,2.308013,1.5471312,0.868846,1.9973567,2.698308
71,3.7866826,4.888081,3.4989023,3.4663045,7.899893,1.8230685,3.6390939,2.7571373,3.8655562,2.4133868,1.4083507,5.633614,4.394773,2.863052,5.210086
72,6.89516,4.838284,5.5277286,6.189245,6.2136707,6.482972,3.85937,5.438836,6.391202,6.169297,7.6948376,7.7333374,5.8318563,6.6320415,6.4927516
73,8.461272,8.8340845,9.179346,10.969478,9.72426,8.878152,8.193544,9.734159,9.695147,10.432507,8.814444,8.439546,8.613112,9.502171,10.671502
74,9.357625,9.426011,12.033743,12.667344,9.643014,8.7194195,9.238698,9.045399,10.987651,12.1836195,10.688288,8.741641,11.145908,7.9868364,11.688186
75,8.485556,8.151432,5.723661,6.431567,7.510684,7.652967,5.3448215,4.721996,8.570572,7.9852223,4.9919047,9.239339,6.4366045,8.203284,5.833664
76,2.9974413,0.6561724,1.0936601,0.88193226,1.5827534,0.47608387,0.45306256,1.2989247,0.8739516,3.7539637,0.25098148,1.2602212,1.148413,1.4600849,1.696214
77,0.1454704,0.109080076,0.15350334,0.021871516,0.012861738,0.21639395,0.338366,0.50750726,1.2028973,0.5271542,0.024506835,0.35010275,0.68953097,0.36477262,0.2833382
78,0.075275585,0.034981612,0.019486483,0.002956648,0.43905148,0.15506652,0.0081421975,0.1859348,0.018057149,0.022408767,0.0014376809,0.007670899,0.009113116,0.26889977,0.03378966
79,0.037895694,0.31705883,0.07021903,0.04719509,0.14925946,0.026972642,0.027455214,0.013152072,0.04512113,0.20298654,0.014120888,0.004333116,0.0964849,0.044508632,0.14644931
80,0.32364705,0.27518156,0.18470746,0.13037515,0.061833043,0.010386299,0.1319845,0.20169176,0.15412655,0.30707616,0.25174838,0.020057036,0.78025943,0.10784226,0.40235475
81,0.1003951,0.32046148,0.075049385,0.0051858285,0.5698055,0.7104371,0.032262802,0.28826004,0.20986043,0.72723347,0.2674794,0.27317283,0.37462044,0.35101542,0.72390217
82,1.3457917,1.5726326,4.573788,2.3802388,1.912011,0.38599247,0.44636962,4.141082,2.249719,2.352463,0.5622739,3.1420393,0.9870075,2.4523227,0.90004146
83,4.743066,4.631303,1.4298793,4.0458574,4.1227436,2.607147,2.2590017,3.244798,1.6065189,4.339843,1.5601686,2.9013531,3.3757436,4.1812196,2.6474786
84,6.1141896,7.2843904,6.377695,6.390565,5.8955536,6.112358,6.955727,6.0362315,6.6761603,4.937415,6.048863,6.3012943,6.468816,5.9181614,4.397224
85,7.9760733,9.489336,8.776514,9.839258,8.98502,8.538532,7.7821126,8.639915,7.542565,8.871708,8.705651,6.7874804,7.8778944,10.461626,8.916322
86,9.30369,8.333508,7.3631287,12.710554,8.593627,10.36484,8.582469,10.544301,9.733442,12.192765,9.171907,8.1906395,9.907792,9.674259,10.000707
87,6.06746,4.4729543,5.967455,5.478272,6.4231205,7.3951855,3.883842,5.518152,6.5723524,6.0713205,5.1317005,6.777654,3.613151,5.4146705,6.8270144
88,0.73223263,0.7463712,0.20661435,0.4424803,0.47984695,0.40426832,0.11903981,0.766738,1.5687408,1.2445291,1.5578066,0.2800671,1.1860387,0.815594,2.3566055
89,0.77711,0.04388384,0.5589007,1.193139,1.8652965,0.19990413,3.1227083,1.4935515,0.4485273,1.8228173,0.08469618,1.2738204,0.6659331,0.42320588,0.40235198
90,0.050984167,0.08821677,0.1386633,0.26912028,0.06405914,0.17988093,0.18191193,0.051905576,0.027260002,0.61443216,0.048312362,0.13437802,0.06330398,0.010611296,0.111474626
91,0.124922164,0.22258727,0.099733606,0.072807856,0.01409342,0.058107607,0.08787115,0.27160814,0.057334587,0.09267854,0.2869202,0.35911185,0.0047926744,0.048986636,0.0072481176
92,0.6129146,0.03364651,0.0033782697,0.035811,0.007983892,0.21888648,0.11488121,0.06267221,0.10165928,0.028626043,0.28224486,0.63433707,0.29466036,0.09398465,0.08859564
93,0.15945056,0.58654296,0.61055315,0.6304163,0.05031705,0.29456484,0.7432716,0.49184915,0.8173077,0.1801621,0.84316516,0.54696494,1.4223615,0.09309932,0.6375329
94,3.0023534,1.5901803,2.4324107,2.8698912,0.8507853,1.7621299,2.324324,1.6318142,1.9997385,2.8437552,1.0778788,0.7857093,0.62975985,0.47869003,1.6353589
95,1.3192234,4.48885,2.4359405,3.0002518,4.2695017,3.3730495,1.7160707,3.7145255,5.3966365,1.5654253,4.1747003,1.7530651,4.480956,2.4130552,3.097972
96,4.166006,4.315166,4.6203218,4.726637,5.124638,6.1177235,5.2542753,5.978828,4.975524,3.1433651,5.4283032,5.486206,7.311908,6.459948,6.797355
97,9.333207,8.426927,8.647773,7.852769,7.377418,8.115175,10.74442,9.079042,9.873054,7.4428186,10.902363,8.733828,9.923248,8.624128,8.375393
98,10.519278,8.838599,11.168867,9.114697,9.073315,11.821226,9.509794,7.035846,11.538115,9.722433,9.376224,9.279116,7.515477,9.376954,10.191822
99,4.13719,6.2772565,5.574008,6.4177313,5.783761,5.8415246,4.753636,5.440333,4.3389845,5.2618036,5.853193,3.0235586,5.074659,4.1521015,3.6964107
100,0.6741279,0.26486745,0.019726524,0.65853983,0.23416406,0.09978691,1.8981471,1.304777,1.3924146,0.18277241,1.7667809,0.57410264,0.18471693,0.5876528,0.44518232
