time,0,1,2,3
0,0.02623554,0.1021,0.011772903,0.010675011
1,0.29530624,0.32666782,0.04293718,0.20163038
2,0.7110634,1.9738071,1.6481866,0.8278523
3,1.7440732,1.9450231,1.467068,2.4433398
4,2.5166783,3.298057,1.6019622,3.0319977
5,3.17812,4.34153,2.821542,5.2742076
6,7.2574778,7.2381234,8.413448,10.619047
7,8.457115,9.043495,8.50638,9.556591
8,4.727362,4.7555385,4.8475523,5.0578036
9,1.8064978,0.68814427,2.0397546,0.7527559
10,0.25836933,0.11489529,0.44598264,0.3825642
11,0.5181473,0.18386851,0.052079763,0.38308972
12,0.2065944,0.42172754,0.23378134,0.21785992
13,0.20355204,0.62354344,0.4568456,0.6444099
14,1.7060935,0.6744627,1.8900235,1.53557
15,2.1494727,3.9172912,4.01804,2.796642
16,2.4582942,1.5800742,1.2398078,3.230703
17,1.9207526,3.8633094,3.354148,4.1087947
18,4.139957,6.9209943,3.5988626,6.636794
19,5.0844936,7.6937375,7.112172,7.913121
20,2.781281,3.229399,7.841853,4.709539
21,1.7763315,1.0713569,4.147604,2.5265803
22,1.0327035,0.46945816,0.19545531,0.28157058
23,0.69467795,0.051845815,0.5153982,0.4186342
24,0.08133364,0.010583866,0.5274615,0.43894953
25,0.013773462,0.09761385,0.12706123,0.13840245
26,0.13614532,0.22930203,1.7094487,0.5177859
27,2.1389413,1.3614144,1.8333488,1.8367597
28,2.4806895,2.347994,2.9069302,1.7385621
29,3.7304149,5.0626345,4.6778812,3.7850032
30,7.9164243,10.018829,9.909934,9.404618
31,9.580097,9.386826,8.278815,9.28303
32,4.859922,3.6239612,3.3345144,3.7599552
33,0.46335316,0.4042929,0.36392894,0.6025805
34,2.153669,0.084219284,0.16006432,0.095244184
35,0.61398923,0.040553436,0.51534647,0.34308243
36,0.042076666,0.61574435,0.05451314,0.036477074
37,0.15013422,0.065016955,0.11162824,0.40718067
38,0.24622814,1.2236472,1.602616,0.3406108
39,1.6302384,2.305385,1.6033897,2.8462033
40,1.4671315,2.1928864,2.3198247,2.7864773
41,3.3061125,2.9251146,2.787196,2.8171916
42,7.2106504,5.2956843,8.40046,7.42278
43,8.37512,5.5785675,7.163856,7.64724
44,2.8602514,3.585204,3.4830058,4.255996
45,2.2462583,2.6932707,2.062819,1.6080724
46,0.12260111,0.26773077,2.1253095,0.10458574
47,0.06583016,0.013394851,0.008545527,0.057456218
48,0.0051615317,0.049218662,0.012450055,0.026590887
49,0.52523893,0.057420317,0.09620484,0.13026056
50,0.4958541,1.0499412,1.1824455,1.1889541
51,1.7139758,1.2010874,1.6747422,3.0433958
52,1.9197514,3.0648253,2.0350478,1.5479162
53,3.3526492,2.9981105,3.0409625,1.6267916
54,7.246468,9.38354,9.486956,11.530236
55,6.767833,7.758561,6.2530203,8.296594
56,4.0420666,3.3430524,2.1792483,3.6855693
57,0.5230572,1.2616187,1.0131794,0.70890194
58,0.1665733,0.385212,0.21148977,0.16897593
59,0.03304971,0.31229708,0.063925564,0.06679738
60,0.23544084,0.0203388,0.11692385,0.2593504
61,0.036660515,0.007888309,0.75893784,0.40800714
62,0.027920566,1.0881788,0.35883707,0.68065804
63,0.5045745,1.396157,2.296512,3.3806787
64,2.3212442,2.4128304,3.0955424,3.021328
65,3.209579,2.5412583,1.5664293,2.5947268
66,6.4313354,8.46813,10.478225,10.412615
67,9.549264,8.971379,7.4654093,8.012435
68,2.5703402,3.8789995,4.6052637,4.043741
69,0.21733835,0.98606163,1.740199,0.6516464
70,0.9920451,0.3939193,1.5220962,0.119200826
71,0.044652104,0.12921125,0.030376045,0.6096555
72,0.24424508,0.03857326,0.07773827,0.03889393
73,0.39740202,0.26149634,0.20866257,0.6581298
74,0.9090477,0.18438861,0.4763137,0.31173038
75,2.345035,2.4246888,2.0128195,3.3282552
76,4.052159,2.5707164,4.4380093,1.3757991
