time,0,1,2,3
0,4.728531,4.3497534,3.021899,4.181245
1,2.0668025,3.1621861,4.8334956,2.8381464
2,0.89851475,1.068413,0.8908755,0.3301291
3,0.9132598,0.04873777,1.4895648,2.39136
4,0.36617425,0.071069114,0.113296345,0.1904065
5,0.2322483,0.008981011,0.010652056,0.059057254
6,0.025711553,0.02141112,0.38738844,0.11422383
7,1.8576069,1.484494,0.2595318,0.373689
8,1.2846125,0.5270882,1.5474129,2.2848005
9,2.375942,2.508038,1.4623636,1.7499944
10,2.340984,3.2164202,2.4863143,1.4649127
11,3.4564004,3.3244042,2.7299092,2.680595
12,4.2803226,3.2680964,3.1438463,4.558067
13,2.4112384,2.8753395,2.3259656,3.1681466
14,1.233401,2.3627906,1.0579604,1.3916237
15,0.75806403,0.91692394,0.20593053,0.16535752
16,0.036480244,0.39145836,0.7057238,0.18392959
17,0.01458176,0.20441455,0.1779699,0.037932716
18,0.13222045,0.16670308,1.0568545,0.31939456
19,0.83539116,1.0323861,0.39173502,0.54800564
20,0.90249884,1.6103469,1.7298734,1.597296
21,2.5692232,1.803047,1.4445542,4.496825
22,3.3201861,3.7859051,2.4206595,2.950335
23,3.7707543,2.6829588,6.3238397,6.156155
24,3.4694066,3.803663,4.129519,3.1212962
25,2.4925413,2.5170822,1.7629907,3.1133287
26,1.3566425,0.7122079,2.1387174,0.7526245
27,0.44663593,0.08395327,0.66567004,0.34492648
28,0.024949055,0.013254301,0.027607543,0.14638053
29,0.013531889,0.064590655,0.16787378,0.04658044
30,0.06234103,0.023500653,0.5552539,0.23321846
31,0.34557062,0.35836607,0.97360396,1.0111363
32,0.6101996,0.7338657,1.6555226,0.6582521
33,1.8060938,1.2567347,2.0696845,2.343642
34,3.09012,2.7649958,2.101027,4.296469
35,2.7822993,5.7327166,3.8584213,5.157924
36,3.267564,2.570381,3.9846754,3.851353
37,1.6194681,2.7178946,3.1715784,3.0483186
38,3.3105967,3.7429976,2.079561,1.4933383
39,0.8639239,0.48817798,0.1387151,0.09074716
40,0.3115764,0.13887295,0.19355056,0.09525107
41,0.048800543,0.07176233,0.2762174,0.08099297
42,0.046321586,0.86174643,0.17067236,0.120045
43,1.5517548,0.48794863,1.0379246,1.1272258
44,0.7940146,1.715269,0.31824383,1.2287066
45,1.5105076,1.7688715,1.5523951,1.8054103
46,4.4464197,4.2420444,2.098658,2.9358668
47,4.059537,3.208634,4.5296683,0.31572562
48,2.0723362,3.3805807,2.6197152,3.884852
49,1.9665431,2.1148639,3.306204,2.726641
50,2.5318568,1.3602594,2.5372415,1.3561274
51,0.6307574,0.33440048,0.7261537,1.0673078
52,0.03372526,0.03190325,0.10218057,0.11407625
53,0.19649412,0.025316248,0.46793044,0.5072094
54,0.05015427,0.04096041,0.046943545,0.5799609
55,0.6643021,0.49871475,0.15067063,0.3013015
56,1.5162723,0.6720919,1.3445833,1.2500249
57,1.7820051,1.5370166,2.2583375,1.9062774
58,1.8399615,3.3020647,5.7912016,3.034038
59,3.0363557,5.133626,2.4603677,3.3204458
60,3.808269,2.2174988,3.9848866,3.2030907
61,3.2195406,2.7173169,3.1999102,2.5033927
62,1.4061388,1.3802079,0.43272957,1.0654492
63,0.37368113,0.13138956,0.3780085,0.43433335
64,0.12496754,0.09502394,0.042331375,0.22159313
65,0.009777878,0.42148575,0.06005565,0.24880734
66,0.004627404,0.089221366,0.17662393,0.51644
67,0.083614945,0.53056705,1.6111042,0.23813264
68,0.12426303,2.0416822,0.27041978,1.6040896
69,2.6045065,1.7957094,3.7161589,2.6489744
70,3.0554705,4.172206,2.8848772,3.291795
71,3.0616968,4.328576,3.954812,3.8826833
72,4.9354324,3.7327752,4.312955,4.4124074
73,2.790499,2.7053473,3.3507032,2.8637617
74,0.9704908,3.1966395,0.17591618,0.5413541
75,0.19832881,1.1090497,0.13084278,0.86127055
76,0.07975079,0.025510829,0.022082768,0.042113222
77,0.0044900747,0.025769152,0.0493442,0.057888214
78,0.04797676,0.16089615,0.098998055,0.03372224
79,0.30342585,0.53632724,0.030000295,0.31578395
80,0.74443376,0.3325211,1.5008929,0.48928863
81,1.9173467,1.6336194,1.532816,0.5088072
82,2.500272,2.9216053,1.9133931,2.4188287
83,5.1765094,6.606565,4.2078466,3.7762415
84,3.6683857,7.414227,4.61215,4.0763946
85,2.8969944,1.7432344,3.483547,2.3537877
86,0.606385,1.1458399,0.9070142,1.1125143
87,0.09014085,0.61252016,0.15222055,0.48711216
88,0.10367133,0.5379883,0.3765965,0.04112578
89,0.077574,0.07465721,0.03008915,0.04052013
90,0.15020241,0.06319653,0.033417698,0.18071762
91,0.37962773,0.12372352,0.14198987,0.0025066051
92,0.7804515,1.4304659,0.47807232,2.1335776
93,2.0167613,3.6954286,2.0350008,1.5085967
94,3.4536684,2.2275977,1.9006585,3.2630732
95,4.7796965,5.778817,2.4475772,4.289675
96,4.320658,3.6545362,2.5165358,4.4334455
97,2.785264,2.0302203,2.9792213,2.6203635
98,1.6036025,1.306484,1.7774975,1.4888978
99,0.4537226,0.9077623,0.38368747,0.7489908
100,0.04039765,0.044361766,0.4858703,0.12886678
101,0.02319447,0.013601706,0.010995542,0.31295407
102,0.48971704,0.0070890957,0.47398573,0.064618364
103,0.97219527,0.68203855,0.4518425,1.3536985
104,1.3905343,1.517863,1.181486,0.83758575
105,1.3974184,1.2804083,1.9579508,2.5339644
106,2.8675165,3.9670804,3.555976,1.0834547
107,4.2197747,2.6750772,3.964587,4.3447714
108,3.1129649,3.691615,4.468134,3.5623286
109,2.9693985,2.529928,3.3613272,2.1458476
110,2.1303153,0.90737474,0.36256722,1.5712739
111,0.039633445,0.6783976,0.83652914,0.156295
112,0.11277004,0.020345466,0.010409155,0.1625565
113,0.014187744,0.04786463,0.053274103,0.06214659
114,0.016160475,0.039625105,0.0019960825,0.0665487
115,0.046188273,0.021711413,0.23561643,0.43492824
