time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6.579279,5.218449,5.6496663,3.6453767,8.33055,5.3141856,4.576039,3.902112,6.890342,6.170655,5.7746663,6.0824533,5.6457586,5.5213823,6.168394
1,0.712184,2.4529843,0.5959689,0.56277585,0.3347854,0.694382,1.0761377,0.09168252,4.5668774,0.15799788,0.16115957,4.7252812,1.4415023,1.1146317,0.019274853
2,0.75792974,1.1024337,0.51591635,0.13677242,0.12186666,3.4051409,1.418977,0.4277959,0.42892382,2.4345005,2.6900568,0.73464644,0.22834668,0.46824044,0.7204421
3,1.43229,0.60452265,0.6048815,0.7471103,0.17657931,0.21002778,2.0681202,0.014564167,0.059849683,1.015646,0.0057812557,1.7926776,0.46070263,2.5193276,0.4686641
4,0.26695526,0.092846036,0.2552339,2.2849894,0.08376889,0.59373856,0.053966824,0.3518212,0.28441626,0.75531286,0.21364586,0.1081124,0.15915133,0.047883295,0.09297124
5,0.25754035,0.4541547,0.44040334,0.46614283,0.01806738,0.077156544,0.09774256,0.4338703,0.9032986,0.343655,0.16528441,0.9709534,2.1118593,0.11807699,0.1368951
6,0.5036959,1.2414368,1.2555051,0.7084979,0.5579,0.8997338,0.69458586,0.306721,0.71830374,1.0148548,1.444414,0.51955384,0.46012455,1.1385851,1.269918
7,4.1988554,2.7920024,1.5650843,0.2939731,1.7803447,2.7168596,2.8826838,1.6336733,1.0286475,1.2272422,2.7631912,1.8858278,0.93144107,2.578459,2.2574365
8,3.1280072,4.404285,2.6581717,3.9087224,3.2323127,4.2243633,6.0199256,2.229753,3.740531,3.3321,2.9677672,3.0729775,3.1401458,4.7885876,3.4908757
9,7.0952396,4.345943,5.613711,6.1403756,6.848254,4.4573483,5.8423157,6.0404835,5.96198,6.3500295,5.303271,6.406612,4.753319,7.4391217,7.0783725
10,9.856432,9.805399,8.297306,10.381738,9.004364,10.553115,9.012501,9.120264,9.266141,8.167739,8.688714,8.425573,9.605028,8.561578,9.18285
11,10.25674,8.640817,9.100099,8.955507,8.587301,10.092865,11.802855,8.753042,7.7560062,10.377814,8.416563,11.835992,8.672815,7.8260098,8.505781
12,4.594271,3.7290945,4.8331637,4.827443,4.756168,4.7887444,6.4169865,3.4837177,2.9153483,5.9721704,5.9334393,4.246267,5.621236,6.670679,5.3451614
13,0.4454376,1.1359775,0.43837687,1.1218556,1.0150182,0.65224254,2.7191784,2.1521256,1.0592023,1.6232957,3.184039,1.9047636,0.6206825,0.16568054,3.2909312
14,2.5929983,0.082299456,0.51904356,3.5703218,0.2107091,3.3942964,1.1061848,0.42072663,0.063216835,0.4165085,0.1359557,2.5260966,0.051662598,2.4563513,2.0020723
15,0.027208658,0.011730293,0.26028103,0.30453095,0.08410079,0.24406323,0.81619006,1.0712287,0.20167255,0.6276382,0.012286706,0.42735937,0.1838883,0.4023607,1.9733175
16,0.7584374,0.5210974,0.13440572,0.7803818,0.21640857,0.092834875,0.2087557,0.40058154,0.100210786,0.12447577,0.5207078,0.7873523,0.46227476,0.19359098,0.35035494
17,0.8135644,0.5317778,0.776645,0.6417622,0.039215904,0.19251277,0.5106841,0.38446733,0.30783206,0.6143166,0.91350496,0.66885906,0.40487927,0.69657433,0.33807734
