time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7.911845,8.045485,9.876043,10.001978,8.420068,8.80387,9.773703,9.053461,9.457519,9.459907,9.725466,8.797372,8.981826,8.309701,9.28301
1,6.127226,10.74141,9.657723,8.34648,9.95668,8.6339035,10.143162,9.124142,8.501374,10.372275,8.911582,10.47635,10.845915,10.677004,8.697022
2,6.567944,4.3544965,5.157694,5.704478,4.038168,5.213636,5.265058,4.9900937,6.3970876,4.2182646,6.7813406,9.27134,5.100385,5.3713293,4.525319
3,2.2194,0.47060966,0.8039253,0.7136742,0.9735533,4.3695703,0.70687497,0.57554764,2.7439406,2.4124236,2.3439703,0.7427769,0.14203717,2.007696,0.6147104
4,1.8503344,0.6487961,1.3499407,2.775197,0.22086114,2.6998477,1.1261472,1.1321576,1.631524,1.4198235,0.89097404,0.92246425,1.5845501,0.89824635,2.3528006
5,0.10462895,0.008001399,0.556176,0.43668967,0.19183472,0.37211227,0.094095334,0.051134266,0.60166764,0.019791452,0.105779685,0.27165216,0.109578595,0.15059672,0.31582853
6,0.12442352,0.15517162,0.34176996,0.14986864,0.24755621,0.12236249,0.1566044,0.39035368,0.15419629,0.2875411,0.8199502,0.43117824,0.091421835,0.25662464,0.193514
7,0.26650435,0.08487856,0.41492176,0.10560881,0.17342886,0.15000528,0.23187931,0.08845929,0.27318302,0.3424494,0.83477664,0.5359207,0.6569602,0.15089813,0.50573546
8,1.490239,0.83776325,0.49462897,0.45070198,1.0500575,0.5320538,1.0597765,1.4334085,0.4840973,0.7709521,0.605946,0.173712,0.61125666,2.25353,0.75608796
9,1.11578,3.1512854,1.7782385,1.3190029,2.1372373,2.568823,3.3698058,1.7338431,0.9779041,1.8770446,0.92059237,1.4437554,2.6289556,3.4370062,2.6950302
10,2.9318113,4.129804,6.323071,2.7693083,3.5000432,3.7714696,3.2650962,3.2523246,2.2464373,1.714131,3.60648,3.4947908,2.3312242,2.0510058,2.0922046
11,5.8486133,6.5417047,6.1704874,6.9172473,5.2573857,5.9958596,6.7043796,4.7872424,5.6969166,6.21419,5.4825525,6.768246,4.9597573,5.508652,7.896045
12,10.334805,8.984114,9.330834,8.654494,8.641227,8.075886,9.701521,8.386919,10.362085,8.659478,8.586634,9.196886,9.128869,10.961425,9.692634
13,8.072822,9.004322,9.7033825,10.996511,9.335776,7.644958,8.645745,10.140034,10.725632,10.876832,9.008057,10.830407,8.535578,11.388879,8.240287
14,5.597941,3.7267964,5.1743803,5.478633,5.2970047,4.36835,5.4860687,4.294532,4.9788046,6.7384233,6.0249834,5.62093,6.5532084,5.6318502,7.890071
15,0.7283303,1.1034977,3.8916907,1.5975456,0.45041612,0.5219689,0.1876819,0.92112994,0.2799021,0.90945935,0.15130815,2.7990494,1.6965446,2.1239476,2.2387698
16,0.80612683,0.26326165,1.6475656,0.796401,0.50631523,0.52031046,6.1948285,1.6118513,0.011390189,0.895244,1.457912,0.7678578,0.40452528,1.829876,2.2087405
17,0.03536571,0.12129421,1.0604358,0.043490548,0.0017911178,0.12548606,0.07619463,0.71826404,0.052913327,0.19239905,0.59027666,0.22461708,0.8850495,0.029883493,0.81915957
18,0.74796575,0.23328978,0.13904545,0.52845955,0.121777385,0.056389518,0.08894571,0.14193594,0.02786647,0.018432776,0.48039106,0.71688586,0.026278304,0.07094666,0.48761755
19,0.38603804,0.44177672,0.06958064,0.49449188,0.5148401,0.14724325,0.54493916,0.0077309036,0.6609128,0.14135113,0.24712236,0.6438634,0.26993486,0.18143521,0.1408571
20,0.93642193,0.57959473,0.787873,1.1793876,2.0455236,0.86898243,0.6951637,0.13478264,0.83997095,0.26903674,1.4706639,0.26467687,0.046309967,0.3859875,0.43797758
21,1.026904,1.7731293,0.6032312,1.647579,4.7585864,1.0641166,0.79769963,0.9140968,2.018041,3.2765007,2.4556317,1.8682073,2.33098,2.0444424,0.7075954
22,2.671019,2.227245,3.0068777,2.9562325,1.6519985,2.124845,2.1899576,0.85896814,4.110577,3.8711162,1.277886,3.0760245,5.278851,4.444657,2.8921533
23,6.136011,5.518132,5.5039225,6.542302,4.627355,5.3861904,5.4629283,6.811858,9.209566,6.6334667,6.223742,6.3309054,6.700513,7.602419,6.2114615
24,8.439322,11.48858,9.284845,10.599208,10.036085,9.894886,9.064506,6.705848,8.474758,8.223255,8.5574045,8.218928,8.099863,9.460058,9.594542
25,7.960606,8.693567,9.3476095,9.095823,9.342983,9.389979,8.992433,9.795784,9.346002,9.240681,9.934467,10.312288,8.792939,12.012925,8.207766
26,5.479741,6.296223,6.458668,5.8241825,7.5434885,4.8384833,7.052888,6.668835,8.154756,7.067687,5.8191986,3.6257524,5.7981973,5.312706,6.1779127
27,1.3134574,0.96694756,0.047948018,0.5768958,1.7886252,0.13455233,0.45603788,0.3275946,0.20894685,1.0365473,0.31299946,0.19957645,1.7396563,0.4047429,0.7489812
28,0.041690536,0.014387885,0.09685691,1.0086741,0.16392389,0.021157946,2.0568755,2.4951696,2.184092,2.8482509,0.4258288,0.008339124,0.19395588,2.203578,0.14075561
29,0.6264523,0.1384809,0.058181558,0.2040302,0.037052624,0.47856158,0.24769595,0.16483857,0.05157159,0.30478236,0.077743396,0.027607221,0.2162122,0.038939632,0.0183115
30,0.018511185,0.06580174,0.10579036,0.15747747,0.009620937,0.042253938,0.35795343,0.068849735,0.18645002,0.14733832,0.06482379,0.18900682,0.048879504,0.32443336,0.22403122
31,0.12965353,0.21321225,0.27250868,0.77674,0.86517435,0.13542633,0.19818561,0.29473072,0.42048308,0.31450844,0.42995846,0.18053477,0.57585937,0.25249776,0.2927345
32,0.56683487,1.0498831,1.0262573,0.79691327,1.0285108,0.66794103,1.1554812,0.9893068,0.6614959,1.0437051,0.27626234,1.3345269,2.1262445,2.2197375,0.45840093
33,2.032801,1.0679617,3.1001852,1.2509029,2.7466953,2.6195238,3.639382,0.33906466,2.7863803,2.10929,1.0848917,0.80376285,0.9470569,1.2448443,4.2056756
34,4.888503,3.1865625,4.1196117,3.8744853,5.043628,3.625188,6.544129,3.0334995,3.7031825,3.981925,2.7734523,1.8928664,1.6117057,2.8460212,2.7147474
35,6.0595293,5.3440104,6.3784995,7.0599203,4.948473,6.9514494,6.9947248,6.3945994,7.2196736,5.6720243,5.259982,7.1521807,5.128347,5.305089,5.7065067
36,10.703948,8.519176,9.433084,8.034939,8.555991,9.602861,9.555285,8.709267,9.138261,10.196646,9.979433,9.5172205,9.748158,10.301631,8.193369
37,8.992745,9.551441,11.713273,7.7566276,8.267676,10.372854,8.873409,9.656433,9.039427,7.3864527,8.371086,10.050447,10.875239,11.453516,8.629396
38,5.5082927,5.8271327,6.8760138,5.4003525,9.272262,8.617411,6.3147306,5.896495,6.3817363,6.056996,5.046984,5.3152385,5.454539,4.955247,6.005783
39,1.1269202,1.2154832,0.08493152,0.047760613,0.815773,3.2021012,1.451646,0.72411734,0.6008395,0.8500099,2.021222,1.0012031,0.61584795,0.849095,0.6925128
40,0.40242174,0.124626175,0.046768673,0.04075005,0.3199242,0.22275814,0.5576339,2.0884302,0.30560976,0.05250872,0.37034562,0.038355116,0.3796406,2.8620393,0.062345028
41,0.2486147,0.028548636,0.21068448,0.7873529,0.32223648,0.09673633,1.1410091,0.15781024,0.28055584,0.5812353,0.05935285,0.02748742,0.97286797,0.004039554,0.47164652
42,0.27228707,0.016464062,0.016625078,0.082255244,0.24291618,0.21959125,0.6031383,0.37234598,0.10072156,0.2773723,0.10433901,0.06982406,0.07651135,0.1487317,0.37937766
43,0.15166715,0.028770972,0.39269814,0.13558644,0.28019094,0.35182756,0.33100992,0.770852,0.05370814,0.4099385,0.60813105,0.12072468,0.46752977,0.1704208,0.14474191
44,0.57258433,0.39787212,0.6740474,1.3100604,1.1985028,1.0253243,1.0094801,1.0523148,0.44037908,0.5167999,0.7602396,0.19681986,0.8397535,0.34591755,0.22222246
45,1.2171372,2.1295915,2.3289468,2.2077985,2.9585533,2.467041,2.8091013,1.5787345,3.4037397,1.1800822,1.8701959,1.1527097,1.4939859,1.9766597,2.857733
46,3.9975615,3.814354,4.989947,4.141802,2.314877,5.464793,2.5196126,4.930637,4.5485377,3.4722824,1.9617738,2.2794795,4.002934,3.9481454,2.1753008
47,7.1846967,5.9558415,6.76927,6.20309,7.2677083,6.0752096,4.4808626,6.8655615,6.505274,5.817551,2.313826,6.5501704,5.566573,6.1696596,5.2468567
48,8.860541,9.220104,9.059892,9.742987,7.402824,10.372356,9.28171,9.551629,8.730341,9.967035,10.260813,8.8597145,8.267243,8.59113,8.123201
49,11.4788885,8.527991,10.475803,10.190644,11.044508,9.885275,11.60681,9.767309,10.608272,11.908317,9.912538,10.6569605,10.327436,11.243812,9.365004
50,5.618148,4.652296,8.336651,4.034086,7.0422506,6.2565284,5.458358,7.1635284,4.5654345,6.513839,6.868015,5.5383525,7.8316336,5.6545453,6.6213064
51,0.33181375,0.21403962,1.8717263,0.7187566,0.11141271,2.6782641,1.083025,0.3995129,0.08639141,0.8298224,1.6418283,0.37856036,0.8457277,0.18594779,0.95589554
52,0.17743272,0.4356871,0.25107586,0.86255294,0.13878125,0.08921336,0.016985964,0.01853977,0.18902646,1.1778896,0.14602181,1.1918232,0.041096374,0.26380455,0.10741709
53,0.19512929,0.36460412,0.096288644,0.039829757,0.33865312,0.02268261,0.10422848,0.11712695,0.023765888,0.20612581,0.12983638,0.36081487,0.010493487,0.6154969,0.09669186
54,0.39472932,0.046250366,0.009529435,0.23540114,0.004574862,0.018548388,0.0016521676,0.028141502,0.027659902,0.0013702996,0.055919096,0.012638734,0.14924191,0.021529857,0.010893332
55,0.116291046,0.101035245,0.011675153,0.2940737,0.18573013,0.14305125,0.19228047,0.30442804,0.40370685,0.05591432,0.049810037,0.22236086,0.052145243,0.1854787,0.20873004
56,0.47323328,0.19916831,1.2889786,0.80883193,0.09979841,1.0847392,0.9450557,0.40672427,0.14639316,0.9484407,0.93649936,1.0395615,0.57861614,0.52722204,0.75260013
57,1.3330315,0.9813156,1.0061371,2.0994096,0.9605292,0.9760719,1.2331744,1.993085,1.5853301,1.0808955,2.4862273,1.7373217,1.6219153,0.9124992,1.5099692
58,2.6959734,2.0045266,2.203337,2.2914016,2.1531484,1.8020867,3.1281674,4.7435355,1.8862284,2.6083696,2.8526442,6.7574234,4.072466,2.7486567,1.5136211
59,7.358108,6.3933105,6.8462505,5.5330844,6.248433,5.666143,6.8556414,3.8618922,5.369459,6.50246,7.456808,8.424346,5.940251,6.411456,5.9927683
60,7.872536,9.33554,9.389045,8.091496,9.233682,8.815916,9.311842,9.094787,9.501596,10.188704,10.351027,8.203617,8.724169,7.692035,8.493163
