time,0,1,2,3
0,0.34937048,1.0186881,0.021052402,0.6078401
1,0.12704833,0.8352448,2.7784054,1.5411365
2,2.113013,2.5511076,1.5080599,2.340132
3,2.1136458,2.7940557,3.1649814,1.5003935
4,3.9738078,6.0770216,5.371626,7.2522364
5,3.8180962,4.870112,6.9150825,4.6339645
6,3.0043907,2.0985096,2.4539742,2.0853887
7,0.67219424,0.38538998,0.8086537,0.7145592
8,0.8198764,0.4075705,0.47768894,1.8217226
9,0.081296176,0.019705825,0.3714915,0.044159118
10,0.01787778,0.010296416,0.023780892,0.03729911
11,0.17130157,0.13518818,0.042600077,0.01584771
12,0.42132875,0.76011187,0.355241,1.5440824
13,1.5606059,1.9373982,1.3221384,1.3695749
14,1.8169206,2.6489422,2.1849353,3.3801272
15,2.4638262,1.7711326,2.8547156,2.377345
16,4.837569,4.8003125,4.6453943,5.1765747
17,4.7031565,5.6276503,3.6937845,3.6118104
18,2.4499218,1.9544047,1.7605528,2.242275
19,1.1298276,0.26689875,0.51671547,1.3779285
20,0.29028842,1.2371993,0.51433766,0.3349606
21,0.08245312,0.10986812,0.27070644,0.10914386
22,0.3447541,0.12061724,0.016130447,0.024724998
23,0.0056618187,0.32031822,0.1964321,0.11743832
24,0.16218974,0.4927858,0.45032752,0.23639375
25,1.6644175,1.5388976,1.8443662,1.3097255
26,1.3491173,2.0490224,2.4281988,1.8510284
27,1.3371396,3.4264503,4.2744107,3.8920746
28,8.195957,3.8914347,4.556681,5.9948034
29,6.059974,6.812933,6.19182,8.970179
30,4.612675,4.0684247,4.1883984,1.9671292
31,0.6647062,0.69114053,0.3030418,0.5319631
32,0.42566866,0.13556932,0.08079569,0.7104648
33,0.01999226,0.31314248,0.007660046,0.09847383
34,0.013101777,0.007722151,0.05995146,0.12729783
35,0.08557909,0.03201537,0.10496102,0.01564825
36,1.6268739,0.44398484,0.026161106,0.64492023
37,1.2167716,1.3602682,1.1520447,2.7034106
38,1.2511808,2.9626186,1.2874144,1.0753846
39,2.0592592,2.8227866,2.1247435,3.1589932
40,6.0585914,5.54613,3.5679548,5.5558143
41,6.5858355,4.236089,4.2143483,7.5308805
42,2.140742,2.5160055,1.4339023,3.3145804
43,0.5043434,0.2746242,0.36389235,0.7441704
44,0.76891476,0.14565684,0.10270254,0.21500954
45,0.1373578,0.48933747,0.2743568,0.12751634
46,0.37917492,0.03526373,0.11292013,0.0455998
47,0.36259794,0.071760535,0.14022931,0.003826248
48,0.613237,0.096719936,0.28946894,0.5041577
49,2.8301594,2.017011,1.5381036,2.062725
50,5.7029366,2.5472386,2.4981792,2.624497
51,2.3362837,3.0564725,2.6620586,3.4112673
52,3.0630078,2.6954083,3.9467175,5.1464458
53,6.85101,8.820239,5.153537,8.11734
54,2.1449366,2.723563,2.0379596,3.9047394
55,0.9839539,1.1785035,0.541792,0.33183563
56,0.090820506,0.29674155,0.08117639,1.5766481
57,0.017020522,0.091737755,0.22918521,0.23573245
58,0.0066160937,0.012456651,0.014622235,0.017501367
59,0.1458781,0.23469257,0.039198373,0.21489543
60,0.2893176,0.03769773,0.4460284,0.4394386
61,1.9481913,0.795497,1.5438478,1.0783992
62,1.663652,1.2251459,3.8038487,2.1206398
63,1.900006,2.3830283,2.3060057,2.2139642
64,6.1876116,4.08314,5.8372755,3.1563249
65,4.104309,5.3220873,5.147472,5.515063
66,4.0492,2.4103255,3.062356,0.78923565
67,0.25077766,1.030354,1.3321146,0.8314355
68,0.35935217,0.14558111,0.101787895,0.3849061
69,0.23604478,0.16818523,0.06888859,0.04093774
70,0.021695834,0.041167095,0.030071279,0.32021445
71,0.016059054,0.18253562,0.42492083,0.73437774
72,0.7419278,1.8377259,0.23482832,0.5224267
73,2.95061,1.7615291,1.397012,1.3233641
74,1.325934,1.1184995,1.9559686,3.0471907
75,3.5751925,2.4688847,3.2521002,5.0585375
76,6.908219,6.7289762,7.0095234,4.9746957
77,8.469254,7.682129,4.8604794,7.3030195
78,3.0821028,3.4747458,2.92075,4.1889715
79,0.15532742,0.6270168,1.3423996,0.70807946
80,0.12535414,0.40531203,0.049767043,1.0861791
81,0.23382714,0.016539905,0.03290995,0.011142795
82,0.015158304,0.01642454,0.059380367,0.0283869
83,0.15209545,0.5566504,0.020061592,0.04707046
84,0.31646255,0.36842725,0.6261104,0.5479592
85,0.9421979,2.7085788,1.2593244,0.95135075
86,1.317435,1.6330073,1.3565103,1.9954511
87,2.280193,2.688872,2.9491496,3.0686312
88,5.466838,4.9879436,4.362017,2.847263
89,5.6020365,7.7129483,6.255567,5.9968414
90,2.9611394,2.2546015,5.222074,2.4183466
91,1.7021149,0.2608208,0.9863977,0.69124955
92,0.24238056,0.50224125,0.23641807,0.27221054
93,0.2836416,0.16872494,0.054393075,0.363962
94,0.12981509,0.043840196,0.049424574,0.034697052
95,0.09273959,0.06997312,0.006266459,0.005989964
96,0.014615256,0.3067244,1.1050059,0.90554166
97,1.2918572,1.5171793,1.6325622,0.65780723
98,1.7253183,1.6030004,1.6266549,2.1616206
99,2.8840215,3.391567,2.9791646,2.0558472
100,3.566101,4.1033735,6.9361067,4.543353
101,4.218031,4.7935114,3.6888757,5.367727
102,2.3717272,2.4214537,1.9436095,3.048915
103,2.188665,1.3882695,1.7877206,2.4690797
104,0.4752022,0.79165524,0.22946706,0.87373775
105,0.033644237,0.022008412,0.23512183,0.050912503
106,0.18226282,0.3795325,0.0007084258,0.114044376
107,0.022984872,0.24248585,0.5047991,0.038329564
108,1.285857,0.48028278,1.2009959,0.5853983
109,0.86413133,2.6321688,1.1062264,1.2707857
110,2.6617215,2.6887295,3.4213796,2.8032594
111,2.8196955,5.4001102,1.8383555,3.2467933
112,3.5607886,4.9436,6.9412518,5.000392
113,11.076002,6.186631,9.730042,6.8140483
114,2.7156477,5.0775967,3.3635724,3.864198
115,1.3678346,1.3895891,1.7644248,0.7906774
116,0.42959246,0.13094437,0.016946012,0.82003725
117,0.03232008,0.08455054,0.21386415,0.38488165
118,0.19196926,0.0004076942,0.2555241,0.03615652
119,0.021333639,0.04699044,0.44291264,0.15505677
120,0.4989708,0.18226163,0.27096355,0.24918622
121,2.287987,1.0942714,1.0511366,1.5869286
122,4.589854,1.8398591,3.070208,1.5106187
123,2.8346722,1.3792268,1.4141695,1.9945223
124,1.2142844,2.3704286,3.2960553,3.4144003
125,4.9734826,5.066346,7.673037,6.7176538
126,2.6596057,3.3960383,2.126837,3.1146913
127,1.1526332,0.71779513,2.100256,0.7777914
128,0.49041513,0.47115737,0.1874407,0.2582825
129,0.1087035,0.061032075,0.1144466,0.18224815
130,0.010798029,0.0198523,0.0080526965,0.1917947
131,0.0062266407,0.020149622,0.014561162,0.0034582582
132,0.48111248,0.84721947,1.4055386,0.890675
133,0.8841293,2.7914393,0.7558192,0.46233574
134,2.7792563,2.3145258,2.006289,1.2593027
135,1.9294257,2.2733214,3.7768672,2.8883715
136,5.1793776,3.6231868,4.0540514,5.252223
137,5.0981174,6.9548,6.272738,6.9094596
138,2.6685808,2.6971593,3.5329218,2.4274561
139,0.6981995,0.42135334,2.092719,0.7212185
140,1.4679307,0.54042023,0.3268395,0.051256116
141,0.08393486,0.052379016,0.16260892,0.4585775
142,0.011347507,0.0073671835,0.0010849448,0.09522212
143,0.008253631,0.11026565,0.011626828,0.5493886
144,0.5274986,0.8893502,0.20999545,0.13517855
145,1.0771692,0.61158395,2.2121778,1.1489222
146,2.2079656,1.6983241,2.1975007,0.9199653
147,4.090926,3.606708,5.14911,2.8900828
148,5.7392178,7.979727,4.4118805,7.1911917
149,7.5782037,9.061787,5.7926764,6.186288
150,1.5431919,2.4115658,3.9755597,2.1495864
151,0.26785284,1.006015,0.96904033,1.1653578
152,0.82523245,0.46258122,0.41468877,0.6358572
153,0.05571002,0.023418516,0.12290932,0.16144627
154,0.066947006,0.0603777,0.092050515,0.032723017
