time,0,1,2,3,4,5,6,7,8,9
0,5.9784346,7.9635034,6.8835897,6.0773997,7.320646,7.0697703,7.432145,6.2328725,5.7283373,6.3977704
1,5.9042177,6.7605925,7.072766,6.6436453,6.9664707,7.5320063,5.710349,6.3775363,7.327604,7.258461
2,6.0158215,6.9374576,7.709821,6.0127025,7.180216,7.897781,5.4169674,6.844155,6.5961285,6.3170614
3,6.2549,3.8209887,3.5424001,4.4764705,4.7613397,5.2853556,2.9257283,3.209582,7.2095184,3.1312175
4,0.6549752,1.0366572,1.2640121,3.6767573,1.1510174,1.2330874,1.1009952,0.6624006,1.251313,0.44679436
5,0.49053434,0.17875163,0.5027217,0.868639,0.15292634,0.18380602,0.06044511,0.020988557,0.11431551,0.24913773
6,0.3210192,0.48395798,0.1537787,0.38279518,0.55363953,0.07863065,0.64684856,0.76177055,0.45634654,0.4961686
7,0.41565382,0.8457646,0.74094975,1.1691333,0.8469244,0.09064689,1.337997,0.6375439,1.0273259,0.8676221
8,2.6312306,1.6503081,0.8037676,1.7574457,2.7823973,2.6459563,1.248779,3.2543395,1.2451254,1.0653336
9,3.8508694,4.5864344,3.316934,4.721298,4.121961,2.700191,3.9026148,5.3920846,5.9747434,4.5413656
10,5.4828973,9.002407,9.096553,5.327067,5.2617154,7.819662,5.8141985,7.2557173,5.505772,4.904745
11,9.599447,6.623474,7.745354,6.6222677,7.872834,8.85627,7.13621,7.474567,7.030785,6.973437
12,6.133086,5.3420105,6.585589,6.2087173,5.6414366,6.547269,5.822368,6.7676053,6.9782953,6.4687877
13,7.0077252,6.9029016,6.559644,6.2423706,6.9469385,5.81427,6.466729,5.481186,7.602267,7.300185
14,7.617127,6.7067456,6.1805263,6.661581,5.8249598,6.7788763,6.7344546,6.1780386,6.5832415,5.240554
15,2.2943788,3.3213625,4.6565995,5.4189982,5.376632,4.292882,2.9549813,3.4184594,3.9605696,2.850969
16,2.524364,0.7265409,1.7874216,0.9870403,1.5329654,1.0785096,1.2448096,1.2785888,1.4207318,1.9325752
17,0.59602374,0.7282839,0.40678284,0.26700428,0.32926375,0.30344012,0.59162563,0.47946352,0.39696312,0.6643313
18,0.4481502,0.38182986,0.6962211,0.50736076,0.11980191,0.3832787,0.24260455,0.66312325,0.4213362,0.8553683
19,0.59223044,1.2015798,0.36007035,0.45789674,1.0430142,0.75170994,0.7749714,1.1177503,0.48523903,0.7309174
20,0.67765343,1.7886593,2.128459,2.7541082,2.9720323,3.0549893,0.9567222,2.0084429,1.12264,4.6092606
21,2.6911457,2.6249201,2.9405975,3.0442023,2.4215112,3.893284,3.205013,3.0459208,2.5792959,1.6781123
22,3.642307,8.275066,8.814222,6.418928,5.9261427,5.716174,7.2923007,5.8531733,5.142367,5.6436663
23,6.5248303,6.457513,7.1055493,8.065897,8.044112,8.50181,7.203135,6.9502354,7.8279996,6.6093526
24,7.315154,6.9903116,6.016883,7.5335817,6.873482,6.4074636,6.076025,6.362778,7.292208,7.9668317
25,5.7272696,7.0110116,6.3971167,5.651088,6.943187,7.554248,6.700558,6.536941,6.061761,6.7192984
26,6.993095,6.6798267,5.9962826,6.238989,7.1298695,6.9794817,5.8247395,7.107194,6.793574,6.3620076
27,7.306039,3.5232275,4.4420896,5.4557962,2.5709767,4.1920285,6.08398,2.9276624,4.1542897,4.255286
28,0.24442062,1.0009938,0.40056372,1.2759271,1.3899766,0.06184911,0.2720055,1.070408,0.6228128,0.37150338
29,0.7736921,0.3643704,0.44461775,0.4015091,0.6474517,0.3339277,0.6233494,0.7782115,0.23803534,0.13474745
30,0.5033016,0.5811314,0.40226012,0.15982172,0.42000535,0.7699436,0.9813844,0.47010246,0.13460122,0.36768848
31,0.34969732,0.6399299,0.94236314,0.8030664,0.5953475,1.2407722,0.60845536,0.39060614,0.22863102,1.2406526
32,2.5894012,2.2929282,3.6735716,2.3440123,1.75442,2.7760637,2.3797984,2.6244664,1.5680753,1.3071905
33,5.88231,4.7565074,3.3785906,1.4171029,3.5195787,4.597214,3.9732137,3.922656,5.719805,4.1013136
34,7.0958276,6.0695486,8.267522,7.350771,3.9517465,4.577105,7.559499,5.8384953,7.2012763,5.481377
35,7.4894795,7.9735117,5.8532047,6.4359927,7.53864,7.557736,6.022394,6.8695173,7.0182157,7.044985
36,6.801624,6.222212,7.24675,7.3619847,8.422272,6.472778,6.8773966,5.9062643,5.5262775,5.81146
37,6.106418,6.8566046,7.3198647,6.6419725,5.87578,7.611945,7.7480597,6.3606954,6.539554,6.76884
38,6.32763,6.84558,6.6330013,6.593857,6.2271857,6.745338,6.1832347,6.5410767,7.417332,8.130747
39,3.7134156,3.5341306,2.972293,2.3212638,3.8397756,3.5788624,1.7124712,4.705123,2.9194427,3.5506463
40,0.667229,0.34379724,1.1396558,0.7085049,1.963131,1.0381542,2.341651,0.5715094,0.69571775,0.62680537
41,0.5838646,0.2572344,0.86513484,0.39246702,0.3190104,0.33784896,0.49481446,0.41401216,0.88005054,0.56156844
42,0.79223484,1.0214757,0.18876241,0.5511506,0.5924216,0.37278447,0.2680693,0.51016545,0.055827692,0.15237305
43,0.87875116,0.8582643,1.1098663,0.76162267,0.86177516,0.43100473,1.5636989,1.0941031,0.83459413,0.929016
44,1.0546948,1.9177991,1.1555402,1.2838808,2.2774792,2.1985579,2.5964148,1.4764895,1.7885331,1.7263203
45,6.1934147,3.1191864,2.8340645,3.3192837,2.7067642,1.6981606,3.55696,4.5673304,3.9544313,1.9241796
46,6.8228736,3.616945,7.24025,5.1686506,5.8871665,6.2061276,6.580196,5.188405,6.564378,5.032358
47,6.847947,6.118296,7.007476,6.838766,7.0980277,6.8394904,7.6507697,6.9607205,8.326128,7.383189
48,6.284497,5.9235077,5.8134437,6.964149,6.4490027,7.5894957,6.699855,5.7573056,5.566582,5.5956426
49,7.363101,6.5281677,6.7186437,7.703967,6.485221,7.535516,5.890287,6.629572,7.2988315,6.539505
50,6.172982,7.7346773,6.286352,7.871696,6.994621,6.773481,8.271803,6.437834,6.909263,7.092952
51,4.4124217,3.3220353,4.8628683,3.5016844,6.6286035,3.7638767,2.1805682,3.8729017,2.7704294,1.6228411
52,0.6075582,0.5036156,0.7197469,0.24483101,0.9834596,1.2580554,0.73959893,0.25472382,1.2028342,1.0319915
53,0.8114339,0.1892941,0.60521376,0.31163815,0.4534006,0.5434145,0.4431207,0.8471188,0.75231963,0.5627099
54,0.41408363,0.21538025,0.2711149,0.18735673,0.8109022,0.1529546,0.7258132,0.4602146,0.9967835,0.65178007
55,0.22710906,0.7267104,1.6696718,0.41601598,0.7769504,1.0504862,1.1621464,0.3262896,0.6644509,0.86041933
56,5.2555027,1.6701369,0.6543222,3.3266096,2.1720562,2.9400408,1.5788138,0.6336278,1.5998987,2.3376083
57,6.0716753,2.2207792,2.5996299,2.3666055,3.9929414,3.7699475,5.738082,2.7279687,3.1858869,2.3390574
58,5.886655,5.5200114,5.6691995,4.96652,5.7412686,6.7167773,5.7129107,5.4336247,8.559935,6.9063907
59,7.4035726,5.8419757,7.296507,6.131032,6.8096995,7.92409,8.0671425,8.150159,6.9437923,6.8555837
60,7.2738333,6.9019413,6.666559,6.6277823,6.5635624,5.999405,6.484739,6.23551,5.6912045,5.8310466
61,6.779162,7.275596,6.0751085,6.8230677,7.2701797,6.9697847,6.574322,6.9230957,7.4809723,6.285195
62,6.273468,5.8025904,7.994931,5.574342,7.2862115,6.858273,7.5332956,6.6613407,6.6491795,7.599518
63,3.3907561,3.517038,2.915402,3.701715,3.8784375,2.371873,3.9669728,3.3444993,5.056653,4.136324
64,0.74319947,1.4865934,2.5132947,0.5264651,1.2515323,1.7526572,1.6757679,1.65512,1.0129852,0.079767145
65,0.960517,0.25733078,0.6280566,0.6074884,0.35143703,0.35629368,0.6661407,0.17659995,0.67804235,0.6088409
66,0.23535527,0.8911496,0.45015895,1.084551,1.4829663,0.3853091,0.25528044,0.40325373,0.69506305,0.5553825
67,0.9164681,0.5198156,1.6335016,1.6994364,0.7773641,0.5487364,0.97151977,0.0826416,0.49126047,1.0696371
68,2.0166342,1.3979037,1.1663468,1.8903041,2.2764573,4.008804,1.978992,2.0253873,2.6164346,0.85995907
69,5.7358103,3.4752321,2.4449806,1.9555427,4.108785,1.0456477,2.498419,3.2764828,3.9877954,2.3926105
70,10.1978855,7.629545,6.346049,7.981827,7.064059,5.9793124,6.326682,6.0706835,6.0861325,8.353743
71,7.8821177,6.5228496,7.1230984,6.4838233,5.9741344,6.7744517,7.4423313,7.676404,7.0870366,6.9732046
72,6.3948855,7.1558437,6.7433987,6.6217113,5.893911,6.427293,7.81161,7.139199,6.5090084,6.8569
73,6.424124,6.7590685,7.4077334,6.523308,6.821714,6.4778256,8.154343,6.607908,6.7575703,7.417377
74,6.865361,6.562406,7.725169,6.3336415,5.814559,6.877889,6.2983656,7.3394504,5.8844347,6.2791004
75,3.2686515,4.6087723,2.9405277,3.5337934,2.6495092,3.2722273,3.9862,4.1175613,2.0279045,3.376587
76,0.50238115,1.7772164,0.47465003,0.6659994,2.0727825,1.1393468,0.31930116,1.0358828,0.43185046,0.25261366
77,0.86172205,0.7154435,0.38107884,0.15353446,0.24896827,0.09168535,0.31151688,0.5008608,0.43538123,0.5525546
78,0.9611934,0.50250405,0.23828122,0.5487331,0.3569733,0.3943728,0.5084989,0.5423278,0.09792443,0.26028332
79,0.68475986,1.8151311,1.2312964,0.6970204,0.51422954,0.4601199,0.8760362,1.8720489,1.6610682,1.3995521
80,3.3599982,2.2402854,4.22165,0.8647012,2.0925765,2.5268779,1.3550644,2.3554037,1.2213588,1.9431808
81,4.6057963,2.4850488,5.130593,4.469987,5.222907,4.5271225,5.3660946,5.884066,4.334636,4.5224814
82,4.9493937,5.723475,5.6054177,4.355525,4.437396,6.638612,6.6236734,5.145273,7.783444,6.2061305
83,6.9942265,7.2115455,6.31849,7.460197,6.897036,5.2281804,7.328814,6.5529766,5.758462,8.090529
84,6.2300944,6.5970488,6.107653,5.6514273,5.895724,6.711921,5.6418233,6.199963,5.9981427,5.939362
85,5.881654,6.044182,7.8516016,8.032335,7.8294535,7.0620303,6.341531,7.2670064,7.273036,6.5386605
86,6.0092893,6.887457,6.213747,6.7765036,6.2554297,6.701598,6.026797,6.176227,8.10076,7.384012
87,2.7963011,4.031027,3.451489,3.9912314,3.5616908,4.4111624,5.1405573,3.583407,5.8198276,3.2854102
88,1.1702682,0.573686,0.52639365,0.2527632,0.57499367,0.99134374,1.5941482,0.35617405,1.0940799,0.9590665
89,0.70611066,0.19962221,0.08854173,0.87049997,0.6641385,0.281561,0.3519654,0.016927753,0.363646,0.58175945
90,0.26961786,0.58676565,0.07587416,0.25249738,0.44244277,0.83282954,0.3815856,0.08924456,0.16801643,0.5209023
91,1.8637328,0.2882819,0.25779435,0.95930755,0.7406142,0.84260106,0.9336351,0.8782726,0.34660026,1.092219
92,1.4192097,1.4858924,0.795312,1.1277908,1.5743177,1.2253197,2.1654084,1.0738906,2.458816,1.7594496
93,4.013445,3.4831178,4.891348,3.836414,3.089272,3.496264,5.43529,4.5715623,4.5330243,3.43778
94,8.203908,6.497845,5.718617,5.1750345,3.8850627,7.4665093,5.174576,6.044619,4.3482,7.146963
95,6.2877703,6.529424,7.3676405,6.1255407,6.839398,7.2570553,6.042856,6.099818,9.489411,6.592094
96,7.482687,5.7763586,6.0136495,6.960231,6.008324,6.5080967,5.637206,7.1343207,6.8435516,6.222982
97,8.043555,7.0377274,6.996677,7.155284,5.956968,6.628505,7.551013,6.163188,6.4302874,7.0976686
98,7.350551,6.765403,7.0195613,6.6075697,6.39315,6.6057715,7.0166173,7.281568,7.342448,7.3263464
99,2.5231988,3.8758974,4.419747,4.595958,3.1305478,3.5824661,2.378564,4.654132,5.258427,3.6477232
100,1.5074872,1.0477296,1.9886888,0.92069334,1.3942069,0.96247935,1.2903143,2.3458264,1.4872931,2.199716
101,0.3015094,0.3940372,1.212433,0.67098075,0.8073,0.16306338,0.43390915,0.92033446,0.36860234,1.4665469
102,0.17266043,0.46159533,0.23924828,0.5009323,0.16402873,0.763585,0.4277847,0.23702843,0.08252197,0.41819432
103,0.22575156,0.69566286,0.81162673,1.0903814,1.1057822,0.91365683,0.4706839,1.0640011,1.7257969,0.1768907
104,3.073896,1.4692819,1.6279438,0.87581855,2.3061273,1.4916246,3.111786,2.697872,2.051141,1.1727055
105,1.831067,5.2277703,3.843883,5.179702,3.7459118,6.270708,3.816414,2.3292625,3.0146818,7.510107
106,4.0438657,7.1452274,5.485995,7.9074545,6.0630198,5.4869375,4.67529,5.965722,7.3161235,3.4944065
107,6.5638943,7.417503,6.7364883,7.243266,6.9271593,7.166621,8.99564,6.5637617,8.373958,6.590878
108,6.447024,8.589341,6.1806936,5.7757254,5.879653,7.4986925,6.6317935,6.6251736,7.8354034,5.9739947
109,6.2545857,7.0692782,7.022718,6.1003056,7.5632405,5.275569,6.164424,6.2957635,6.6988416,6.286911
110,6.4361887,6.2732496,6.9472013,5.6195807,6.3370314,6.0444994,5.6594753,7.8283916,8.29988,6.83368
111,3.9981701,2.524244,3.0583956,2.2576504,2.5814726,3.7025359,5.024763,4.207773,3.8773463,3.7272463
112,0.52402264,0.954931,0.66348386,1.9380103,1.8431079,0.5453967,1.6138223,2.0090673,1.1925311,0.36857745
113,0.073285475,1.1163762,0.9430843,0.2828171,0.39258334,0.7726752,0.34519958,0.3710664,1.0613908,0.16363995
114,0.36270222,0.056068614,0.05578117,0.118351385,0.2573557,0.9303636,0.04342597,0.3487021,0.16772732,0.5320745
115,0.26369113,2.775532,1.3971379,0.7767111,0.30430746,0.3931898,1.5113022,1.3669827,0.16032518,0.42411932
116,2.2528403,3.080348,1.8388546,3.8874753,1.6277528,2.5355291,1.9068648,2.616674,1.6362616,2.3468018
117,3.4771428,3.7555373,5.5242467,3.0677285,5.137243,4.4423757,2.5529425,3.5735457,3.5206175,6.2360897
118,5.6469016,7.4090123,10.165492,7.612209,4.3763742,6.0398536,5.7841926,4.3931475,8.34731,5.6159034
119,5.45016,6.506089,6.6936903,5.903101,8.56114,7.5625315,6.6145782,5.846722,8.329283,7.553185
120,6.517066,5.794999,6.3444552,6.8173885,7.521034,6.0311007,7.424199,6.38338,6.848094,7.4581676
121,7.0673475,6.3593926,6.7763343,6.7180886,6.9384284,6.7613173,6.4339643,6.5746813,6.724735,6.777517
122,6.4157586,6.804889,6.9836154,5.7886386,6.4557467,6.0883074,7.341001,8.039225,7.1147623,7.598237
123,3.6402996,3.0298154,2.6531181,3.2036855,4.2608695,3.8439841,3.121647,4.8509235,3.9742537,2.5903203
124,1.3729076,0.69827485,1.1795495,0.92729634,0.5008558,1.1581272,1.4496207,0.89656454,1.4921314,0.6677424
125,1.1330777,0.69346803,0.5728636,0.48366886,0.28494388,0.3376778,0.52090394,0.27566254,0.6639906,0.5955868
126,0.17471078,0.22571002,0.46879643,0.42728454,0.6154638,0.21456276,0.10258837,0.15123822,0.18895349,0.8204262
127,0.16142178,0.5883408,0.6896481,0.39599946,0.71336496,1.146116,2.1706555,0.85152024,0.65439194,0.54699177
128,0.93617237,1.2348238,0.39070246,1.4908521,1.7769573,2.1338077,2.0609608,1.0601547,1.443995,2.8862188
129,5.310392,4.6252146,3.5542734,3.3847365,6.9034863,3.285576,5.497361,4.5753336,2.498806,3.4193316
130,8.517478,7.5411463,9.53663,5.5313063,5.679883,5.922734,7.8098,7.8081326,4.842291,8.327681
131,8.611631,9.743624,8.318584,6.3080444,7.375676,7.3824897,6.498131,8.673377,7.7803297,5.783463
132,6.967,7.07784,6.125547,5.531907,6.113132,6.2684326,6.402676,5.9163485,5.709817,6.6331706
133,7.8142724,6.1797504,7.1896667,7.187028,6.683101,7.121435,7.414024,6.5120616,6.4921145,6.1978106
134,6.97786,6.248372,6.4072194,7.3072233,5.8040347,8.011978,5.1535673,6.8691792,6.5015216,5.1223226
135,4.1749177,3.74062,4.6469746,3.756046,3.4257185,4.784483,7.8903375,4.44535,2.7700408,3.91011
136,0.5988301,1.9670274,1.718782,0.9219046,0.7439738,0.93759286,1.5089628,2.6941946,0.14328279,0.99148995
137,0.05215403,0.32440376,0.24132517,0.25409243,0.33213657,0.609012,0.32834327,0.047149476,0.65361935,0.8694897
138,0.37762117,0.31480342,0.31277466,0.17955248,0.42909396,0.09350308,0.6330678,0.85899043,0.41761273,0.15520099
139,0.6651288,0.5359176,0.9683778,0.2605259,0.73536694,0.6047801,0.60277134,0.5286883,1.319715,0.41248858
140,2.332727,1.8267121,1.8370866,2.1505392,1.8237164,2.6561868,1.7392104,2.2512417,1.7741227,1.2408186
141,2.7815516,3.4138465,2.4969432,4.0086875,3.499486,6.1467457,3.9015749,4.5439253,6.135821,2.0587542
142,3.8021734,6.188503,6.076368,6.8445916,7.5499735,4.927447,6.00097,9.103446,5.6108546,4.7742796
143,6.010363,6.382488,7.138481,8.361393,8.320182,6.935423,8.491036,6.416303,8.0584755,6.4173784
144,6.790693,7.673503,6.5054097,6.667621,6.69491,5.6516933,7.6933265,6.5196047,6.6993,5.851264
145,7.007068,7.035858,7.2095685,7.0432634,6.8212094,6.1711435,5.8841195,6.8008747,7.75196,6.568324
146,7.2717495,6.8464556,7.5127892,7.1063256,7.8314786,6.9775944,6.895563,6.5837803,7.228641,7.6502414
147,5.3839145,4.7182026,2.9041617,4.218751,3.200738,4.24104,3.2297733,3.970894,4.668999,2.5242643
148,1.2887441,0.96557146,2.6609023,2.483716,1.4543196,1.3048693,0.966467,0.64902854,0.93691665,0.7428373
149,0.60105824,0.18189692,0.7529943,1.0070386,0.22495571,1.3572909,0.20575994,0.47196335,0.68055445,0.6096617
150,0.86489064,0.23008487,0.098552495,0.46955076,0.31905857,0.6009835,0.23733912,0.5263904,0.48115665,0.23997435
