time,0,1,2,3
0,1.6107713,1.4781394,3.4190264,1.9929888
1,1.992728,1.862432,1.8753687,1.8776406
2,2.502786,2.7594934,2.7429929,1.5020276
3,3.280579,4.463458,2.8242497,2.9900026
4,3.962645,4.804434,2.5070853,4.2381687
5,2.2804532,2.4202561,2.4548926,2.2208216
6,0.6963269,1.259537,0.81126744,0.20459022
7,0.29850775,0.49454057,0.5003586,0.78396595
8,0.07887212,0.17022401,0.03532546,0.07601465
9,0.13413933,0.12778042,0.106314056,0.04404166
10,1.3336799,0.44628477,0.028603025,0.10666284
11,0.5695171,0.41590616,0.17531107,1.0619693
12,1.8357562,2.367769,0.78021824,1.7307509
13,4.4898353,4.2122674,2.8238928,2.014669
14,6.1269426,3.3986728,2.7177608,5.491534
15,3.6422434,3.3960092,3.4653141,2.8968546
16,2.1981192,6.5365567,5.7680583,4.1499834
17,2.744717,2.9716496,2.1755204,2.478258
18,0.9103472,1.257785,2.8179157,0.39224795
19,0.68258786,0.01379992,0.26634735,0.22171828
20,0.07203515,0.04035013,0.031192716,0.34776086
21,0.32710534,0.063300624,0.15482321,0.07283674
22,0.03341717,0.0084849065,0.3017863,0.103909954
23,0.54278874,0.99817634,0.56849974,0.23137482
24,1.2957613,0.93624747,0.9632076,1.9891484
25,1.3064507,1.8101337,2.018905,2.3140585
26,1.1737317,3.224796,1.1354926,1.3080369
27,4.5767965,5.3568215,5.214613,8.6342325
28,5.465817,5.200342,6.2133107,5.1125336
29,2.8299983,3.6991866,4.107905,2.77235
30,0.67638993,0.66289914,1.1396028,1.6046662
31,0.8169742,0.27898782,0.38274744,0.07427043
32,0.028100701,0.099485956,0.07272887,0.083955735
33,0.085133314,0.079034716,0.019563187,0.12382602
34,0.017694872,0.1032286,0.11092127,0.019201906
35,0.27718976,1.2373315,0.91087115,0.20326185
36,2.0982537,3.0096877,2.544487,2.9150395
37,1.4597371,1.8381861,1.7360191,2.4966924
38,2.2405574,4.2240796,2.431584,3.214418
39,2.845711,5.54978,3.9998803,3.9292016
40,3.964961,5.131297,4.9109282,2.4873483
41,1.9021947,2.1413522,2.9238095,2.2063868
42,0.3453857,2.093699,2.706354,0.93703556
43,0.25032806,0.7514941,0.25029758,0.22007912
44,0.5226724,0.012789159,0.23756732,0.30193654
45,0.09532874,0.024583567,0.006613665,0.06527264
