time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,5.3452935,5.08032,5.5736103,3.0190358,6.458296,7.1401186,6.755805,4.9387155,6.6840887,5.7629833,3.491339,4.5462084,6.202149,5.623061,7.0360956,4.834516,7.665186,6.6979628,3.4466226,5.8509827,5.377683,6.9644322,7.898051,7.619275,,,,
1,4.7981596,6.008341,7.101519,6.5365024,4.816582,5.90005,3.769906,5.7773976,6.492648,4.6056495,5.169752,6.5805125,5.7296076,6.1472454,6.2634387,5.842696,6.5151105,4.104903,3.725699,7.3156705,6.3183737,4.5170474,7.2285647,5.338035,,,,
2,2.0358415,0.72020423,3.400037,1.7248535,3.377762,2.2978349,0.8632626,3.6493096,1.69668,1.3330626,1.9896507,5.3604136,3.3410006,3.0861516,2.0773072,3.4547641,3.606234,1.9856734,1.1518719,1.5013454,2.5470343,2.905605,0.5346623,1.6399384,,,,
3,2.7928073,1.3408201,1.1947188,1.4034911,1.4005108,1.9318396,2.0904336,1.5569031,0.62771887,1.6487552,1.3280885,1.5598937,2.523908,2.1172776,2.3063295,1.5132045,1.1712184,1.22418,1.8832189,0.9500157,0.6185907,1.2284999,0.81064373,1.817318,,,,
4,0.69623655,1.4013727,1.6579973,0.65109456,0.61848694,0.6917088,0.7770184,0.23587616,1.6533864,0.37005574,0.42672458,1.0123546,0.67013997,0.31736422,0.18944652,1.3990362,0.9808372,1.0720246,0.2895127,0.5757854,1.237545,0.46227115,1.1038432,0.052016534,,,,
5,0.43098226,0.09181039,0.43332922,0.23484808,0.62665963,0.08598462,0.5095523,0.26990655,0.012461538,0.0009346153,0.29333422,0.26626155,0.43308002,0.3376869,0.30761307,0.027301151,0.39129227,0.013416922,0.008276538,0.0,0.09594346,0.049337305,0.31160074,0.4939546,,,,
6,0.35624424,0.98075414,0.66497886,0.6148835,0.24140078,0.73245806,0.7063096,0.1692277,0.0049534612,0.58679307,0.17969538,0.17504308,0.15501115,0.38713843,0.3488919,0.14934112,0.064644225,0.30570227,0.83419615,0.34813386,0.37445882,0.58317924,0.9798299,0.21071424,,,,
7,0.38907,0.06868385,0.54189,1.3580272,0.43590456,1.0235078,0.82035345,1.1616336,1.2682939,0.46471152,1.2500064,1.0501338,1.3830127,1.5466431,1.0729904,1.1363676,0.51878417,1.1738042,0.7756477,0.48922956,0.78803647,0.17185499,0.9288623,0.4042315,,,,
8,0.6023804,0.8856207,1.5985038,0.90311885,0.4559677,2.134163,1.168051,1.4257869,0.7372142,2.3709636,1.8763231,1.9581126,2.3483975,1.90485,0.3983954,1.7882619,0.62093765,0.26322922,0.5512257,1.0496873,0.72006917,0.47891766,1.3850896,0.86497617,,,,
9,0.56814224,1.9336466,0.919433,1.4638568,0.77361226,1.0900108,1.7309388,1.998436,1.1505843,1.6074243,1.2142004,1.5752318,0.7975903,0.7702166,3.2908118,2.5653634,1.6033742,1.4449672,2.6502886,1.2707653,1.5110341,1.822666,1.4502323,2.6480043,,,,
10,1.8780785,2.2718837,2.7090242,2.524147,2.1852968,0.60667956,2.7292845,2.584928,1.5441611,3.159935,2.3958347,1.7555606,4.0324707,2.9884012,4.2070255,1.4044671,1.5032666,2.7983732,2.2174997,2.0228298,3.9755938,4.961842,3.0515294,2.0444815,2.1835835,2.1747358,2.4994626,1.3604572
11,3.7533631,3.464349,2.710426,4.227961,3.0780935,4.825627,3.370462,3.7182012,4.696494,3.9934247,6.160777,4.149225,1.3836564,2.918835,2.3900294,4.1921034,4.6482577,3.1839957,2.5876591,3.432063,4.562751,2.0455408,2.3625414,3.3950217,,,,
12,4.2018642,6.3807645,8.488592,6.40171,7.6979594,7.111021,6.594635,8.010952,6.085447,7.711719,6.998203,4.931155,3.903286,6.0043216,6.0182376,5.1295633,6.2877293,8.235592,5.600153,7.0709887,5.690364,6.4577765,5.725703,7.1499944,,,,
13,6.5982904,6.5356607,5.6375275,7.1003246,5.9379644,5.8932376,5.935452,6.3012595,5.2972236,4.575202,5.5180616,6.8819265,5.287234,5.564648,4.9812503,3.9444299,5.0886693,6.0879803,5.9920373,6.7337165,4.895463,4.490536,5.6246185,4.207223,,,,
14,2.1998873,2.7970128,1.5419492,1.417988,0.9906299,4.0566564,2.8823118,2.7789645,4.123762,1.9227321,2.6892934,2.8904016,1.1055357,3.5775828,2.2007492,2.1283994,2.5809712,2.5369928,2.2886655,1.6655262,2.4548297,1.5756265,2.7961926,0.65242386,,,,
15,1.2837046,1.226444,0.97257113,0.8930457,0.14346346,0.6982511,0.9127143,1.6760976,1.2669438,1.1876261,1.2990946,0.5262092,1.0120742,1.0453674,0.96884304,0.6029931,0.61966044,2.5242093,1.1396699,0.57716656,0.74258304,1.0476934,0.8576757,0.26327077,,,,
16,0.03910846,0.1773381,0.54276234,0.1359554,0.7096119,0.6472108,0.13525961,0.18714115,1.1616647,1.5686895,0.6895384,1.7435874,0.23867996,0.32229695,0.27042577,0.4434646,0.5145369,0.6711681,0.8044338,0.49450496,1.216433,0.94268423,0.58065575,0.5986003,,,,
17,0.22528385,0.7711719,0.6821757,0.39047194,0.14969423,0.5595957,0.058756147,0.72381806,0.4338692,0.14268461,0.26737267,0.23020616,0.20138884,0.64669156,0.65133345,1.0748075,0.31110227,0.035702307,0.34920347,0.06354346,0.15907152,0.4725208,0.98753536,0.26684305,,,,
18,0.016283074,0.7343273,0.39840576,0.36992073,1.0479946,0.35710615,0.7184907,0.27153692,0.15588346,0.18410882,0.8252342,0.16215576,0.26285538,0.154575,0.5288262,0.6090265,0.16286191,0.20240654,0.61680454,0.6511258,0.39531115,0.0855796,0.5421288,0.3723715,,,,
19,0.20994578,1.6139042,0.39038885,1.143585,1.6422646,1.2771623,0.23225194,0.4789073,0.9396207,0.9197446,0.86592114,0.9710654,0.7882234,0.87858,1.4017049,0.77129656,1.4269189,0.5949034,0.5525757,0.32946232,0.40786615,0.5568958,0.32375076,0.5231562,,,,
20,1.3992437,1.0886918,2.4146514,1.2310961,1.9185265,1.479735,0.43708846,0.91100067,0.8969608,1.2084681,2.6132784,1.1766703,1.2642127,0.9072103,0.44446152,1.4190786,0.5584846,0.88394886,1.1309988,0.76198155,0.72644526,0.6391938,1.1505011,1.4921341,,,,
21,1.6544874,0.7273592,0.8779569,0.6717807,0.3670546,1.9553711,1.5160292,2.0549598,2.0775359,0.9366092,1.8076915,2.2766297,1.7238772,1.2276795,1.7925403,1.1914061,1.4569823,1.7068568,1.4404603,1.6461173,1.8145764,1.1197419,2.6686902,1.3186799,,,,
22,2.9657423,2.0915654,1.987335,2.4120138,2.4897013,3.761318,3.243271,5.121048,2.7008204,4.8659506,0.7245969,2.704247,2.5582187,1.5491145,3.6568174,3.5810206,1.9856421,2.72457,2.3840687,2.5243547,1.63971,2.4009748,1.6553594,3.301124,2.434268,3.1111474,2.0683246,2.4332087
23,3.6902661,4.713224,3.8640738,0.7179715,5.571606,2.7308006,3.1659575,4.940221,5.3447013,5.2537947,4.9030232,3.7394063,3.4273074,2.663342,3.0636587,6.2105813,2.2447073,3.0250485,2.828167,4.0589304,2.8806193,5.374318,3.6500676,2.3958864,,,,
24,5.0697584,4.0475388,7.725904,6.260449,6.477445,7.8097916,5.0586367,7.4276376,8.187417,4.342098,7.0991,5.2973585,7.364219,6.612611,6.1641,6.04909,7.7274,7.894768,6.962292,5.5491333,6.596619,5.8977237,6.008975,7.1431613,,,,
